unix,date,symbol,open,high,low,close,Volume SBR,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,SBR/USD,0.022957,0.022957,0.022957,0.022957,0.0,0.0,2022-04-29
1651269600000,2022-04-29 22:00:00,SBR/USD,0.022957,0.022957,0.022957,0.022957,0.0,0.0,2022-04-29
1651266000000,2022-04-29 21:00:00,SBR/USD,0.022957,0.022957,0.022957,0.022957,0.0,0.0,2022-04-29
1651262400000,2022-04-29 20:00:00,SBR/USD,0.022775,0.022957,0.022775,0.022957,15.615431,0.358483449467,2022-04-29
1651258800000,2022-04-29 19:00:00,SBR/USD,0.022775,0.022775,0.022775,0.022775,0.0,0.0,2022-04-29
1651255200000,2022-04-29 18:00:00,SBR/USD,0.022775,0.022775,0.022775,0.022775,0.0,0.0,2022-04-29
1651251600000,2022-04-29 17:00:00,SBR/USD,0.024873,0.024873,0.022775,0.022775,17956.96148,408.96979770700005,2022-04-29
1651248000000,2022-04-29 16:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,0.0,0.0,2022-04-29
1651244400000,2022-04-29 15:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,37.242818,0.926340612114,2022-04-29
1651240800000,2022-04-29 14:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,2.961419,0.0736593747869999,2022-04-29
1651237200000,2022-04-29 13:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,0.0,0.0,2022-04-29
1651233600000,2022-04-29 12:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,0.0,0.0,2022-04-29
1651230000000,2022-04-29 11:00:00,SBR/USD,0.024873,0.024873,0.024873,0.024873,0.0,0.0,2022-04-29
1651226400000,2022-04-29 10:00:00,SBR/USD,0.025699,0.025699,0.024873,0.024873,5.312951,0.132149030223,2022-04-29
1651222800000,2022-04-29 09:00:00,SBR/USD,0.025699,0.025699,0.025699,0.025699,0.0,0.0,2022-04-29
1651219200000,2022-04-29 08:00:00,SBR/USD,0.026488,0.026488,0.025699,0.025699,20001.007718,514.005897344882,2022-04-29
1651215600000,2022-04-29 07:00:00,SBR/USD,0.026488,0.026488,0.026488,0.026488,0.0,0.0,2022-04-29
1651212000000,2022-04-29 06:00:00,SBR/USD,0.026488,0.026488,0.026488,0.026488,0.0,0.0,2022-04-29
1651208400000,2022-04-29 05:00:00,SBR/USD,0.026462,0.026488,0.026462,0.026488,1.470331,0.038946127528,2022-04-29
1651204800000,2022-04-29 04:00:00,SBR/USD,0.0268,0.0268,0.026462,0.026462,3.487861,0.092295777782,2022-04-29
1651201200000,2022-04-29 03:00:00,SBR/USD,0.0268,0.0268,0.0268,0.0268,0.0,0.0,2022-04-29
1651197600000,2022-04-29 02:00:00,SBR/USD,0.026683,0.0268,0.026683,0.0268,1.840671,0.0493299828,2022-04-29
1651194000000,2022-04-29 01:00:00,SBR/USD,0.026683,0.026683,0.026683,0.026683,0.0,0.0,2022-04-29
1651190400000,2022-04-29 00:00:00,SBR/USD,0.026233,0.026861,0.026233,0.026683,51000.0,1360.833,2022-04-29
