unix,date,symbol,open,high,low,close,Volume MPL,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,MPL/USD,49.431,49.431,49.097,49.097,19.897794,976.921992018,2022-05-02
1651528800000,2022-05-02 22:00:00,MPL/USD,49.348,49.461,49.331,49.431,41.702289,2061.385847559,2022-05-02
1651525200000,2022-05-02 21:00:00,MPL/USD,49.479,49.479,49.348,49.348,40.643999,2005.700062652,2022-05-02
1651521600000,2022-05-02 20:00:00,MPL/USD,49.705,49.808,49.34,49.479,79.814172,3949.125416388,2022-05-02
1651518000000,2022-05-02 19:00:00,MPL/USD,49.924,50.067,49.705,49.705,39.470066,1961.85963053,2022-05-02
1651514400000,2022-05-02 18:00:00,MPL/USD,51.004,51.004,49.924,49.924,203.130755,10141.09981262,2022-05-02
1651510800000,2022-05-02 17:00:00,MPL/USD,51.496,51.496,51.004,51.004,1.957687,99.849867748,2022-05-02
1651507200000,2022-05-02 16:00:00,MPL/USD,51.292,51.496,51.292,51.496,3.376535,173.87804636,2022-05-02
1651503600000,2022-05-02 15:00:00,MPL/USD,50.779,51.292,50.779,51.292,1.947895,99.91143034,2022-05-02
1651500000000,2022-05-02 14:00:00,MPL/USD,49.726,50.779,49.726,50.779,0.008114,0.412020806,2022-05-02
1651496400000,2022-05-02 13:00:00,MPL/USD,49.746,49.916,49.712,49.726,54.337854,2702.004128004,2022-05-02
1651492800000,2022-05-02 12:00:00,MPL/USD,50.0,50.0,49.72,49.746,43.178178,2147.941642788,2022-05-02
1651489200000,2022-05-02 11:00:00,MPL/USD,50.459,50.459,49.997,50.0,71.341872,3567.0936,2022-05-02
1651485600000,2022-05-02 10:00:00,MPL/USD,50.677,50.677,50.459,50.459,0.177669,8.965000071,2022-05-02
1651482000000,2022-05-02 09:00:00,MPL/USD,50.677,50.677,50.677,50.677,0.0,0.0,2022-05-02
1651478400000,2022-05-02 08:00:00,MPL/USD,50.955,50.955,50.677,50.677,10.180439,515.914107203,2022-05-02
1651474800000,2022-05-02 07:00:00,MPL/USD,50.387,50.955,50.387,50.955,0.027468,1.39963194,2022-05-02
1651471200000,2022-05-02 06:00:00,MPL/USD,50.387,50.387,50.387,50.387,0.0,0.0,2022-05-02
1651467600000,2022-05-02 05:00:00,MPL/USD,50.583,50.583,50.387,50.387,0.691404,34.837773348,2022-05-02
1651464000000,2022-05-02 04:00:00,MPL/USD,50.583,50.583,50.583,50.583,0.0,0.0,2022-05-02
1651460400000,2022-05-02 03:00:00,MPL/USD,51.021,51.214,50.583,50.583,175.463784,8875.484586072,2022-05-02
1651456800000,2022-05-02 02:00:00,MPL/USD,51.015,51.139,50.989,51.021,78.671737,4013.910693477,2022-05-02
1651453200000,2022-05-02 01:00:00,MPL/USD,50.644,51.211,50.644,51.015,158.848969,8103.680153535,2022-05-02
1651449600000,2022-05-02 00:00:00,MPL/USD,50.541,50.808,50.541,50.644,62.226655,3151.40671582,2022-05-02
