unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,ALCX/USD,66.36,66.74,66.22,66.39,24.9735,1657.990665,2022-04-29
1651269600000,2022-04-29 22:00:00,ALCX/USD,66.24,66.37,65.96,66.36,36.757125,2439.202815,2022-04-29
1651266000000,2022-04-29 21:00:00,ALCX/USD,66.32,66.67,66.13,66.24,56.175301,3721.0519382399993,2022-04-29
1651262400000,2022-04-29 20:00:00,ALCX/USD,65.81,66.37,65.74,66.32,50.583152,3354.67464064,2022-04-29
1651258800000,2022-04-29 19:00:00,ALCX/USD,66.82,66.94,65.68,65.81,69.50666,4574.2332946,2022-04-29
1651255200000,2022-04-29 18:00:00,ALCX/USD,67.36,67.47,66.65,66.82,120.315014,8039.449235479999,2022-04-29
1651251600000,2022-04-29 17:00:00,ALCX/USD,67.03,67.39,66.72,67.36,99.202125,6682.255139999999,2022-04-29
1651248000000,2022-04-29 16:00:00,ALCX/USD,68.14,68.14,66.95,67.03,41.212651,2762.48399653,2022-04-29
1651244400000,2022-04-29 15:00:00,ALCX/USD,67.19,68.14,67.19,68.14,83.738045,5705.9103863,2022-04-29
1651240800000,2022-04-29 14:00:00,ALCX/USD,67.62,67.78,66.96,67.19,127.120008,8541.193337519999,2022-04-29
1651237200000,2022-04-29 13:00:00,ALCX/USD,67.47,67.62,66.83,67.62,182.86032,12365.0148384,2022-04-29
1651233600000,2022-04-29 12:00:00,ALCX/USD,66.91,67.48,66.73,67.47,146.853584,9908.21131248,2022-04-29
1651230000000,2022-04-29 11:00:00,ALCX/USD,67.89,67.89,66.72,66.91,59.565071,3985.49890061,2022-04-29
1651226400000,2022-04-29 10:00:00,ALCX/USD,68.25,68.35,67.88,67.89,10.874007,738.23633523,2022-04-29
1651222800000,2022-04-29 09:00:00,ALCX/USD,68.92,68.92,68.25,68.25,16.823179,1148.18196675,2022-04-29
1651219200000,2022-04-29 08:00:00,ALCX/USD,69.38,69.38,68.71,68.92,0.784735,54.0839362,2022-04-29
1651215600000,2022-04-29 07:00:00,ALCX/USD,69.46,69.56,69.32,69.38,0.029481,2.04539178,2022-04-29
1651212000000,2022-04-29 06:00:00,ALCX/USD,69.41,69.52,69.03,69.46,61.240607,4253.77256222,2022-04-29
1651208400000,2022-04-29 05:00:00,ALCX/USD,69.42,69.56,69.24,69.41,14.717257,1021.52480837,2022-04-29
1651204800000,2022-04-29 04:00:00,ALCX/USD,69.27,69.42,69.0,69.42,19.774223,1372.72656066,2022-04-29
1651201200000,2022-04-29 03:00:00,ALCX/USD,69.12,69.27,68.81,69.27,26.156235,1811.84239845,2022-04-29
1651197600000,2022-04-29 02:00:00,ALCX/USD,69.89,69.93,69.06,69.12,17.522642,1211.16501504,2022-04-29
1651194000000,2022-04-29 01:00:00,ALCX/USD,69.98,70.17,69.84,69.89,117.960274,8244.24354986,2022-04-29
1651190400000,2022-04-29 00:00:00,ALCX/USD,70.17,70.38,69.88,69.98,16.093356,1126.21305288,2022-04-29
