unix,date,symbol,open,high,low,close,Volume AUDIO,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,AUDIO/USD,0.848,0.85,0.79,0.835,15262.540056,12744.22094676,2022-04-30
1651356000000,2022-04-30 22:00:00,AUDIO/USD,0.873,0.873,0.848,0.848,4761.24623,4037.53680304,2022-04-30
1651352400000,2022-04-30 21:00:00,AUDIO/USD,0.879,0.88,0.872,0.873,2471.726816,2157.817510368,2022-04-30
1651348800000,2022-04-30 20:00:00,AUDIO/USD,0.884,0.886,0.879,0.879,1599.705706,1406.141315574,2022-04-30
1651345200000,2022-04-30 19:00:00,AUDIO/USD,0.87,0.888,0.87,0.884,2612.368671,2309.333905164,2022-04-30
1651341600000,2022-04-30 18:00:00,AUDIO/USD,0.875,0.881,0.87,0.87,15642.027852,13608.56423124,2022-04-30
1651338000000,2022-04-30 17:00:00,AUDIO/USD,0.897,0.897,0.873,0.875,37617.367843,32915.196862625,2022-04-30
1651334400000,2022-04-30 16:00:00,AUDIO/USD,0.914,0.917,0.897,0.897,3043.483944,2730.0050977680003,2022-04-30
1651330800000,2022-04-30 15:00:00,AUDIO/USD,0.906,0.916,0.902,0.914,2094.662434,1914.521464676,2022-04-30
1651327200000,2022-04-30 14:00:00,AUDIO/USD,0.948,0.948,0.906,0.906,3155.767684,2859.125521704,2022-04-30
1651323600000,2022-04-30 13:00:00,AUDIO/USD,0.977,0.977,0.944,0.948,2084.16278,1975.78631544,2022-04-30
1651320000000,2022-04-30 12:00:00,AUDIO/USD,0.965,0.98,0.963,0.977,7041.019173,6879.075732021,2022-04-30
1651316400000,2022-04-30 11:00:00,AUDIO/USD,0.96,0.97,0.96,0.965,784.099863,756.656367795,2022-04-30
1651312800000,2022-04-30 10:00:00,AUDIO/USD,0.958,0.965,0.955,0.96,1120.363629,1075.54908384,2022-04-30
1651309200000,2022-04-30 09:00:00,AUDIO/USD,0.964,0.967,0.955,0.958,246.404227,236.055249466,2022-04-30
1651305600000,2022-04-30 08:00:00,AUDIO/USD,0.976,0.977,0.958,0.964,398.724562,384.370477768,2022-04-30
1651302000000,2022-04-30 07:00:00,AUDIO/USD,0.982,0.988,0.976,0.976,55.887424,54.546125824,2022-04-30
1651298400000,2022-04-30 06:00:00,AUDIO/USD,0.987,0.99,0.978,0.982,170.518624,167.44928876799997,2022-04-30
1651294800000,2022-04-30 05:00:00,AUDIO/USD,0.982,0.987,0.974,0.987,285.619973,281.906913351,2022-04-30
1651291200000,2022-04-30 04:00:00,AUDIO/USD,0.973,0.983,0.973,0.982,256.084812,251.475285384,2022-04-30
1651287600000,2022-04-30 03:00:00,AUDIO/USD,0.98,0.98,0.968,0.973,210.37277,204.69270521,2022-04-30
1651284000000,2022-04-30 02:00:00,AUDIO/USD,0.981,0.987,0.98,0.98,64.654984,63.36188432,2022-04-30
1651280400000,2022-04-30 01:00:00,AUDIO/USD,0.972,0.988,0.972,0.981,293.732601,288.151681581,2022-04-30
1651276800000,2022-04-30 00:00:00,AUDIO/USD,0.958,0.972,0.957,0.972,5202.606099,5056.933128227999,2022-04-30
