unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651535940,2022-05-02 23:59:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535880,2022-05-02 23:58:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535820,2022-05-02 23:57:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535760,2022-05-02 23:56:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535700,2022-05-02 23:55:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535640,2022-05-02 23:54:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535580,2022-05-02 23:53:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535520,2022-05-02 23:52:00,LTC/USD,100.56,100.56,100.56,100.56,0.0,0.0,2022-05-02
1651535460,2022-05-02 23:51:00,LTC/USD,100.41,100.56,100.41,100.56,10.30021807,1035.7899291192,2022-05-02
1651535400,2022-05-02 23:50:00,LTC/USD,100.65,100.65,100.65,100.65,0.0,0.0,2022-05-02
1651535340,2022-05-02 23:49:00,LTC/USD,100.65,100.65,100.65,100.65,0.0,0.0,2022-05-02
1651535280,2022-05-02 23:48:00,LTC/USD,100.65,100.65,100.65,100.65,0.0,0.0,2022-05-02
1651535220,2022-05-02 23:47:00,LTC/USD,100.65,100.65,100.65,100.65,175.9973,17714.128245,2022-05-02
1651535160,2022-05-02 23:46:00,LTC/USD,100.63,100.63,100.63,100.63,0.0,0.0,2022-05-02
1651535100,2022-05-02 23:45:00,LTC/USD,100.64,100.64,100.63,100.63,29.79317,2998.0866971,2022-05-02
1651535040,2022-05-02 23:44:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534980,2022-05-02 23:43:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534920,2022-05-02 23:42:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534860,2022-05-02 23:41:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534800,2022-05-02 23:40:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534740,2022-05-02 23:39:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534680,2022-05-02 23:38:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534620,2022-05-02 23:37:00,LTC/USD,100.93,100.93,100.93,100.93,0.0,0.0,2022-05-02
1651534560,2022-05-02 23:36:00,LTC/USD,100.99,100.99,100.93,100.93,3.86674742,390.2708171006,2022-05-02
1651534500,2022-05-02 23:35:00,LTC/USD,101.19,101.19,101.19,101.19,0.0,0.0,2022-05-02
