unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,ALCX/USD,65.24,65.24,63.27,63.53,329.45966,20930.5721998,2022-04-30
1651356000000,2022-04-30 22:00:00,ALCX/USD,65.14,65.27,65.0,65.24,50.158956,3272.37028944,2022-04-30
1651352400000,2022-04-30 21:00:00,ALCX/USD,65.12,65.28,65.03,65.14,4.050551,263.85289214,2022-04-30
1651348800000,2022-04-30 20:00:00,ALCX/USD,65.79,65.9,65.04,65.12,26.658481,1736.00028272,2022-04-30
1651345200000,2022-04-30 19:00:00,ALCX/USD,66.04,66.16,65.41,65.79,49.91191,3283.7045589000004,2022-04-30
1651341600000,2022-04-30 18:00:00,ALCX/USD,66.23,66.51,66.04,66.04,28.6383,1891.273332,2022-04-30
1651338000000,2022-04-30 17:00:00,ALCX/USD,67.27,67.27,66.19,66.23,148.472677,9833.345397710002,2022-04-30
1651334400000,2022-04-30 16:00:00,ALCX/USD,67.63,67.68,67.27,67.27,62.198037,4184.06194899,2022-04-30
1651330800000,2022-04-30 15:00:00,ALCX/USD,67.26,67.69,66.82,67.63,65.120979,4404.1318097700005,2022-04-30
1651327200000,2022-04-30 14:00:00,ALCX/USD,68.15,68.16,67.26,67.26,60.619595,4077.2739597,2022-04-30
1651323600000,2022-04-30 13:00:00,ALCX/USD,69.12,69.12,68.08,68.15,45.537436,3103.3762634000004,2022-04-30
1651320000000,2022-04-30 12:00:00,ALCX/USD,68.88,69.88,68.81,69.12,192.431925,13300.894656000002,2022-04-30
1651316400000,2022-04-30 11:00:00,ALCX/USD,66.98,69.01,66.97,68.88,138.094687,9511.962040559998,2022-04-30
1651312800000,2022-04-30 10:00:00,ALCX/USD,66.84,67.01,66.82,66.98,7.489928,501.67537744,2022-04-30
1651309200000,2022-04-30 09:00:00,ALCX/USD,66.7,66.84,66.64,66.84,8.119349,542.69728716,2022-04-30
1651305600000,2022-04-30 08:00:00,ALCX/USD,66.67,66.77,66.36,66.7,0.143858,9.595328600000002,2022-04-30
1651302000000,2022-04-30 07:00:00,ALCX/USD,66.63,66.83,66.53,66.67,20.080057,1338.73740019,2022-04-30
1651298400000,2022-04-30 06:00:00,ALCX/USD,66.63,66.92,66.62,66.63,60.905623,4058.14166049,2022-04-30
1651294800000,2022-04-30 05:00:00,ALCX/USD,66.05,66.63,66.04,66.63,62.155683,4141.43315829,2022-04-30
1651291200000,2022-04-30 04:00:00,ALCX/USD,66.12,66.3,65.89,66.05,47.735696,3152.9427208,2022-04-30
1651287600000,2022-04-30 03:00:00,ALCX/USD,66.26,66.27,65.9,66.12,33.344068,2204.7097761600003,2022-04-30
1651284000000,2022-04-30 02:00:00,ALCX/USD,66.81,66.81,66.26,66.26,1.907221,126.37246346000002,2022-04-30
1651280400000,2022-04-30 01:00:00,ALCX/USD,66.73,66.92,66.62,66.81,0.215247,14.38065207,2022-04-30
1651276800000,2022-04-30 00:00:00,ALCX/USD,66.39,67.01,66.39,66.73,32.765365,2186.4328064500005,2022-04-30
