unix,date,symbol,open,high,low,close,Volume BOND,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,BOND/USD,5.9974,6.0187,5.8346,5.8423,98.194051,573.6791041573,2022-04-30
1651356000000,2022-04-30 22:00:00,BOND/USD,6.0242,6.0242,5.9932,5.9974,26.828932,160.90383677679998,2022-04-30
1651352400000,2022-04-30 21:00:00,BOND/USD,6.0105,6.0342,6.0019,6.0242,9.849296,59.33412896320001,2022-04-30
1651348800000,2022-04-30 20:00:00,BOND/USD,6.0485,6.0516,5.9929,6.0105,19.95277,119.926124085,2022-04-30
1651345200000,2022-04-30 19:00:00,BOND/USD,6.03,6.0485,6.0127,6.0485,1.889282,11.427322177,2022-04-30
1651341600000,2022-04-30 18:00:00,BOND/USD,6.0036,6.0591,6.0036,6.03,23.339657,140.73813171,2022-04-30
1651338000000,2022-04-30 17:00:00,BOND/USD,6.061,6.0854,5.9809,6.0036,162.120178,973.3047006408,2022-04-30
1651334400000,2022-04-30 16:00:00,BOND/USD,6.0845,6.096,6.0575,6.061,3.916147,23.735766967,2022-04-30
1651330800000,2022-04-30 15:00:00,BOND/USD,6.0692,6.0845,6.0575,6.0845,4.611887,28.0610264515,2022-04-30
1651327200000,2022-04-30 14:00:00,BOND/USD,6.1466,6.156,6.0692,6.0692,18.542841,112.5402105972,2022-04-30
1651323600000,2022-04-30 13:00:00,BOND/USD,6.2026,6.206,6.1466,6.1466,1058.627414,6506.9592628924,2022-04-30
1651320000000,2022-04-30 12:00:00,BOND/USD,6.2244,6.2538,6.2022,6.2026,83.603839,518.5611717813999,2022-04-30
1651316400000,2022-04-30 11:00:00,BOND/USD,6.2225,6.2437,6.2195,6.2244,3.061808,19.0579177152,2022-04-30
1651312800000,2022-04-30 10:00:00,BOND/USD,6.2088,6.2243,6.1932,6.2225,3.287011,20.4534259475,2022-04-30
1651309200000,2022-04-30 09:00:00,BOND/USD,6.1029,6.2678,6.1029,6.2088,26.558892,164.8988486496,2022-04-30
1651305600000,2022-04-30 08:00:00,BOND/USD,6.147,6.1554,6.0932,6.1029,8.467864,51.678527205600005,2022-04-30
1651302000000,2022-04-30 07:00:00,BOND/USD,6.1943,6.1943,6.141,6.147,1.804689,11.093423283,2022-04-30
1651298400000,2022-04-30 06:00:00,BOND/USD,6.1748,6.1943,6.161,6.1943,0.771132,4.7766229476,2022-04-30
1651294800000,2022-04-30 05:00:00,BOND/USD,6.1534,6.1959,6.1467,6.1748,7.11134,43.911102232000005,2022-04-30
1651291200000,2022-04-30 04:00:00,BOND/USD,6.1481,6.1559,6.1187,6.1534,0.823915,5.069878561,2022-04-30
1651287600000,2022-04-30 03:00:00,BOND/USD,6.1114,6.168,6.0952,6.1481,4.459042,27.4146361202,2022-04-30
1651284000000,2022-04-30 02:00:00,BOND/USD,6.1141,6.1462,6.111,6.1114,702.989603,4296.250659774199,2022-04-30
1651280400000,2022-04-30 01:00:00,BOND/USD,6.127,6.127,6.09,6.1141,252.682566,1544.9264767806,2022-04-30
1651276800000,2022-04-30 00:00:00,BOND/USD,6.1191,6.1386,6.0982,6.127,31.411221,192.456551067,2022-04-30
