unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,LQTY/USD,1.548,1.548,1.531,1.532,252.815958,387.314047656,2022-04-30
1651356000000,2022-04-30 22:00:00,LQTY/USD,1.582,1.582,1.548,1.548,1860.761843,2880.459332964,2022-04-30
1651352400000,2022-04-30 21:00:00,LQTY/USD,1.563,1.582,1.563,1.582,164.270248,259.87553233600005,2022-04-30
1651348800000,2022-04-30 20:00:00,LQTY/USD,1.552,1.563,1.552,1.563,305.549988,477.57463124399993,2022-04-30
1651345200000,2022-04-30 19:00:00,LQTY/USD,1.549,1.554,1.549,1.552,304.596571,472.733878192,2022-04-30
1651341600000,2022-04-30 18:00:00,LQTY/USD,1.572,1.572,1.549,1.549,126.309416,195.653285384,2022-04-30
1651338000000,2022-04-30 17:00:00,LQTY/USD,1.584,1.584,1.571,1.572,270.564293,425.32706859600006,2022-04-30
1651334400000,2022-04-30 16:00:00,LQTY/USD,1.578,1.588,1.577,1.584,603.808707,956.432991888,2022-04-30
1651330800000,2022-04-30 15:00:00,LQTY/USD,1.578,1.578,1.578,1.578,0.0,0.0,2022-04-30
1651327200000,2022-04-30 14:00:00,LQTY/USD,1.593,1.593,1.578,1.578,187.328422,295.604249916,2022-04-30
1651323600000,2022-04-30 13:00:00,LQTY/USD,1.599,1.599,1.593,1.593,97.330987,155.048262291,2022-04-30
1651320000000,2022-04-30 12:00:00,LQTY/USD,1.607,1.614,1.599,1.599,399.811412,639.298447788,2022-04-30
1651316400000,2022-04-30 11:00:00,LQTY/USD,1.607,1.607,1.607,1.607,0.0,0.0,2022-04-30
1651312800000,2022-04-30 10:00:00,LQTY/USD,1.61,1.61,1.607,1.607,132.820817,213.443052919,2022-04-30
1651309200000,2022-04-30 09:00:00,LQTY/USD,1.61,1.61,1.61,1.61,0.0,0.0,2022-04-30
1651305600000,2022-04-30 08:00:00,LQTY/USD,1.615,1.615,1.61,1.61,72.628808,116.93238088,2022-04-30
1651302000000,2022-04-30 07:00:00,LQTY/USD,1.616,1.618,1.615,1.615,20.412598,32.96634577,2022-04-30
1651298400000,2022-04-30 06:00:00,LQTY/USD,1.63,1.63,1.616,1.616,236.058658,381.470791328,2022-04-30
1651294800000,2022-04-30 05:00:00,LQTY/USD,1.615,1.63,1.615,1.63,190.348456,310.26798327999995,2022-04-30
1651291200000,2022-04-30 04:00:00,LQTY/USD,1.607,1.615,1.607,1.615,10.060492,16.24769458,2022-04-30
1651287600000,2022-04-30 03:00:00,LQTY/USD,1.606,1.607,1.606,1.607,149.233494,239.818224858,2022-04-30
1651284000000,2022-04-30 02:00:00,LQTY/USD,1.618,1.623,1.605,1.606,2249.761965,3613.1177157900006,2022-04-30
1651280400000,2022-04-30 01:00:00,LQTY/USD,1.633,1.633,1.618,1.618,589.611068,953.990708024,2022-04-30
1651276800000,2022-04-30 00:00:00,LQTY/USD,1.629,1.633,1.629,1.633,84.122203,137.371557499,2022-04-30
