unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,DOGE/USD,0.1318,0.13338,0.13121,0.13281,72091.875121,9574.521934820012,2022-05-01
1651442400000,2022-05-01 22:00:00,DOGE/USD,0.13183,0.13278,0.13152,0.1318,218425.636486,28788.4988888548,2022-05-01
1651438800000,2022-05-01 21:00:00,DOGE/USD,0.13131,0.13183,0.13055,0.13183,126795.998082,16715.51642715006,2022-05-01
1651435200000,2022-05-01 20:00:00,DOGE/USD,0.13057,0.13131,0.12957,0.13131,115969.841882,15227.99993752542,2022-05-01
1651431600000,2022-05-01 19:00:00,DOGE/USD,0.13081,0.13082,0.12968,0.13057,445807.223364,58209.04915463748,2022-05-01
1651428000000,2022-05-01 18:00:00,DOGE/USD,0.13281,0.13307,0.13081,0.13081,427471.470645,55917.543075072455,2022-05-01
1651424400000,2022-05-01 17:00:00,DOGE/USD,0.13329,0.13403,0.13273,0.13281,309733.476328,41135.70299112169,2022-05-01
1651420800000,2022-05-01 16:00:00,DOGE/USD,0.13369,0.13456,0.13318,0.13329,199140.37588,26543.4207010452,2022-05-01
1651417200000,2022-05-01 15:00:00,DOGE/USD,0.13144,0.13417,0.13144,0.13369,676290.562449,90413.2852938068,2022-05-01
1651413600000,2022-05-01 14:00:00,DOGE/USD,0.1317,0.13204,0.13113,0.13144,57832.349388,7601.48400355872,2022-05-01
1651410000000,2022-05-01 13:00:00,DOGE/USD,0.13204,0.1324,0.13146,0.1317,38685.379922,5094.864535727401,2022-05-01
1651406400000,2022-05-01 12:00:00,DOGE/USD,0.13088,0.13204,0.13056,0.13204,244017.995394,32220.13611182376,2022-05-01
1651402800000,2022-05-01 11:00:00,DOGE/USD,0.13104,0.13165,0.13071,0.13088,55884.383179,7314.14807046752,2022-05-01
1651399200000,2022-05-01 10:00:00,DOGE/USD,0.13099,0.13162,0.13099,0.13104,18067.981624,2367.62831200896,2022-05-01
1651395600000,2022-05-01 09:00:00,DOGE/USD,0.13217,0.13218,0.13039,0.13099,39478.404169,5171.27616209731,2022-05-01
1651392000000,2022-05-01 08:00:00,DOGE/USD,0.13152,0.13255,0.13088,0.13217,292331.62414,38637.470762583805,2022-05-01
1651388400000,2022-05-01 07:00:00,DOGE/USD,0.13113,0.13177,0.13071,0.13152,125891.097494,16557.19714241088,2022-05-01
1651384800000,2022-05-01 06:00:00,DOGE/USD,0.13174,0.13319,0.13104,0.13113,461478.335863,60513.65418171519,2022-05-01
1651381200000,2022-05-01 05:00:00,DOGE/USD,0.12925,0.13661,0.12919,0.13174,1262505.80605,166322.514889027,2022-05-01
1651377600000,2022-05-01 04:00:00,DOGE/USD,0.13017,0.13027,0.12897,0.12925,209813.399697,27118.381910837248,2022-05-01
1651374000000,2022-05-01 03:00:00,DOGE/USD,0.12954,0.13041,0.12946,0.13017,87324.276638,11367.00108996846,2022-05-01
1651370400000,2022-05-01 02:00:00,DOGE/USD,0.12996,0.13074,0.12926,0.12954,283138.251322,36677.72907625188,2022-05-01
1651366800000,2022-05-01 01:00:00,DOGE/USD,0.128,0.13034,0.12666,0.12996,489618.013468,63630.75703030128,2022-05-01
1651363200000,2022-05-01 00:00:00,DOGE/USD,0.12759,0.12892,0.12613,0.128,886355.820135,113453.54497728,2022-05-01
