unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,BTC/USD,38301.84,38633.76,38251.25,38481.69,24.07962789,926624.7757783342,2022-05-01
1651442400000,2022-05-01 22:00:00,BTC/USD,38338.69,38564.43,38098.99,38301.84,36.55404769,1400087.2859747494,2022-05-01
1651438800000,2022-05-01 21:00:00,BTC/USD,38310.55,38424.66,38098.15,38338.69,43.56037329,1670047.6478495903,2022-05-01
1651435200000,2022-05-01 20:00:00,BTC/USD,37807.97,38333.33,37687.9,38310.55,13.97536435,535403.8946988925,2022-05-01
1651431600000,2022-05-01 19:00:00,BTC/USD,37945.29,38072.25,37750.0,37807.97,28.88173276,1091959.6857380972,2022-05-01
1651428000000,2022-05-01 18:00:00,BTC/USD,38370.86,38414.47,37922.46,37945.29,12.18302789,462288.5263641381,2022-05-01
1651424400000,2022-05-01 17:00:00,BTC/USD,38504.53,38601.48,38368.75,38370.86,38.16976755,1464606.8068935932,2022-05-01
1651420800000,2022-05-01 16:00:00,BTC/USD,38511.62,38666.1,38399.14,38504.53,17.22953567,663415.173091585,2022-05-01
1651417200000,2022-05-01 15:00:00,BTC/USD,37993.92,38649.68,37989.52,38511.62,39.63083143,1526247.5203162166,2022-05-01
1651413600000,2022-05-01 14:00:00,BTC/USD,37926.75,38035.0,37904.82,37993.92,9.06209842,344304.6424016064,2022-05-01
1651410000000,2022-05-01 13:00:00,BTC/USD,37966.07,38038.11,37891.5,37926.75,12.97520693,492107.4294323775,2022-05-01
1651406400000,2022-05-01 12:00:00,BTC/USD,37951.35,38023.79,37863.9,37966.07,10.40376598,394990.1074602986,2022-05-01
1651402800000,2022-05-01 11:00:00,BTC/USD,38027.82,38072.51,37917.44,37951.35,1.86656185,70838.5420659975,2022-05-01
1651399200000,2022-05-01 10:00:00,BTC/USD,37997.52,38103.18,37977.9,38027.82,1.27653135,48543.704402157,2022-05-01
1651395600000,2022-05-01 09:00:00,BTC/USD,38045.75,38059.73,37883.7,37997.52,8.96631006,340697.54583105113,2022-05-01
1651392000000,2022-05-01 08:00:00,BTC/USD,37966.24,38065.94,37949.04,38045.75,14.18203561,539566.1813091575,2022-05-01
1651388400000,2022-05-01 07:00:00,BTC/USD,37958.69,38002.63,37918.37,37966.24,7.4388062,282423.501502688,2022-05-01
1651384800000,2022-05-01 06:00:00,BTC/USD,38084.6,38144.16,37937.31,37958.69,5.15810732,195794.9967466108,2022-05-01
1651381200000,2022-05-01 05:00:00,BTC/USD,37954.75,38165.84,37929.06,38084.6,17.73206313,675318.531480798,2022-05-01
1651377600000,2022-05-01 04:00:00,BTC/USD,38045.62,38068.58,37903.0,37954.75,3.81937815,144963.54283871248,2022-05-01
1651374000000,2022-05-01 03:00:00,BTC/USD,37827.28,38071.82,37816.23,38045.62,20.76588589,790051.0035343019,2022-05-01
1651370400000,2022-05-01 02:00:00,BTC/USD,37943.63,38074.73,37765.65,37827.28,40.78231892,1542684.1968361377,2022-05-01
1651366800000,2022-05-01 01:00:00,BTC/USD,37706.68,38085.61,37412.54,37943.63,75.41297891,2861442.168958843,2022-05-01
1651363200000,2022-05-01 00:00:00,BTC/USD,37650.45,37838.04,37505.0,37706.68,49.72478851,1874956.688414247,2022-05-01
