unix,date,symbol,open,high,low,close,Volume BOND,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,BOND/USD,6.1319,6.1421,6.1051,6.1191,264.011114,1615.5104076774005,2022-04-29
1651269600000,2022-04-29 22:00:00,BOND/USD,6.1001,6.132,6.0805,6.1319,112.077316,687.2468939803999,2022-04-29
1651266000000,2022-04-29 21:00:00,BOND/USD,6.1044,6.1298,6.096,6.1001,2.269639,13.845024863900004,2022-04-29
1651262400000,2022-04-29 20:00:00,BOND/USD,6.0849,6.126,6.075,6.1044,53.520337,326.7095451828,2022-04-29
1651258800000,2022-04-29 19:00:00,BOND/USD,6.192,6.2086,6.0849,6.0849,972.729888,5918.9640954912,2022-04-29
1651255200000,2022-04-29 18:00:00,BOND/USD,6.2678,6.2954,6.1919,6.192,877.164992,5431.405630464,2022-04-29
1651251600000,2022-04-29 17:00:00,BOND/USD,6.2314,6.2722,6.2161,6.2678,478.180488,2997.1396626864,2022-04-29
1651248000000,2022-04-29 16:00:00,BOND/USD,6.2904,6.3307,6.2297,6.2314,82.193143,512.1783512902,2022-04-29
1651244400000,2022-04-29 15:00:00,BOND/USD,6.2638,6.2964,6.2553,6.2904,47.230543,297.0990076872,2022-04-29
1651240800000,2022-04-29 14:00:00,BOND/USD,6.3123,6.3353,6.2564,6.2638,4.192707,26.2622781066,2022-04-29
1651237200000,2022-04-29 13:00:00,BOND/USD,6.2868,6.3284,6.2798,6.3123,65.359822,412.5708044105999,2022-04-29
1651233600000,2022-04-29 12:00:00,BOND/USD,6.2297,6.3015,6.2233,6.2868,9.215201,57.934125646800005,2022-04-29
1651230000000,2022-04-29 11:00:00,BOND/USD,6.3015,6.3015,6.2218,6.2297,8.97528,55.913301816,2022-04-29
1651226400000,2022-04-29 10:00:00,BOND/USD,6.3907,6.3907,6.1507,6.3015,365.09853,2300.668386795,2022-04-29
1651222800000,2022-04-29 09:00:00,BOND/USD,6.4757,6.4757,6.3907,6.3907,36.38994,232.557189558,2022-04-29
1651219200000,2022-04-29 08:00:00,BOND/USD,6.5899,6.5931,6.4674,6.4757,508.215828,3291.0532373796,2022-04-29
1651215600000,2022-04-29 07:00:00,BOND/USD,6.6173,6.627,6.5859,6.5899,17.217287,113.4601996013,2022-04-29
1651212000000,2022-04-29 06:00:00,BOND/USD,6.7091,6.7107,6.6173,6.6173,128.069003,847.4710135519001,2022-04-29
1651208400000,2022-04-29 05:00:00,BOND/USD,6.7592,6.766,6.7062,6.7091,11.159658,74.8712614878,2022-04-29
1651204800000,2022-04-29 04:00:00,BOND/USD,6.7386,6.7592,6.7263,6.7592,1.094675,7.39912726,2022-04-29
1651201200000,2022-04-29 03:00:00,BOND/USD,6.7423,6.7612,6.7252,6.7386,7.025244,47.3403092184,2022-04-29
1651197600000,2022-04-29 02:00:00,BOND/USD,6.8069,6.8069,6.7422,6.7423,1.479913,9.9780174199,2022-04-29
1651194000000,2022-04-29 01:00:00,BOND/USD,6.804,6.8161,6.7835,6.8069,20.475626,139.37553861939998,2022-04-29
1651190400000,2022-04-29 00:00:00,BOND/USD,6.8212,6.8258,6.7835,6.804,7.571575,51.5169963,2022-04-29
