unix,date,symbol,open,high,low,close,Volume APE,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,APE/USD,15.068,15.294,14.985,15.07,17641.622612,265859.25276284,2022-05-02
1651528800000,2022-05-02 22:00:00,APE/USD,14.902,15.155,14.703,15.068,6578.561529,99125.765118972,2022-05-02
1651525200000,2022-05-02 21:00:00,APE/USD,14.522,15.125,14.43,14.902,11975.343858,178456.574171916,2022-05-02
1651521600000,2022-05-02 20:00:00,APE/USD,14.743,14.811,14.384,14.522,5844.603035,84875.32527427,2022-05-02
1651518000000,2022-05-02 19:00:00,APE/USD,14.489,14.76,14.375,14.743,9191.729047,135513.661339921,2022-05-02
1651514400000,2022-05-02 18:00:00,APE/USD,14.437,14.577,14.217,14.489,12211.21706,176928.32398234002,2022-05-02
1651510800000,2022-05-02 17:00:00,APE/USD,14.737,14.75,14.319,14.437,24641.7383,355752.7758371,2022-05-02
1651507200000,2022-05-02 16:00:00,APE/USD,15.01,15.253,14.637,14.737,11109.289645,163717.60149836502,2022-05-02
1651503600000,2022-05-02 15:00:00,APE/USD,15.372,15.372,14.897,15.01,7581.742804,113801.95948804,2022-05-02
1651500000000,2022-05-02 14:00:00,APE/USD,15.423,15.56,15.164,15.372,7735.818534,118915.002504648,2022-05-02
1651496400000,2022-05-02 13:00:00,APE/USD,15.035,15.454,14.795,15.423,8321.715347,128345.815796781,2022-05-02
1651492800000,2022-05-02 12:00:00,APE/USD,15.422,15.645,14.953,15.035,10886.742188,163682.16879658,2022-05-02
1651489200000,2022-05-02 11:00:00,APE/USD,15.399,15.48,15.125,15.422,3839.673351,59215.442419122,2022-05-02
1651485600000,2022-05-02 10:00:00,APE/USD,15.728,15.832,15.241,15.399,19481.180967,299990.70571083296,2022-05-02
1651482000000,2022-05-02 09:00:00,APE/USD,16.198,16.327,15.728,15.728,11069.687548,174104.045754944,2022-05-02
1651478400000,2022-05-02 08:00:00,APE/USD,16.193,16.475,15.996,16.198,6162.564961,99821.227238278,2022-05-02
1651474800000,2022-05-02 07:00:00,APE/USD,16.474,16.59,16.154,16.193,4763.548089,77136.134205177,2022-05-02
1651471200000,2022-05-02 06:00:00,APE/USD,16.983,17.18,16.35,16.474,12969.275758,213655.848837292,2022-05-02
1651467600000,2022-05-02 05:00:00,APE/USD,17.072,17.218,16.849,16.983,10160.906193,172562.66987571903,2022-05-02
1651464000000,2022-05-02 04:00:00,APE/USD,16.604,17.377,16.368,17.072,17157.308145,292909.56465144,2022-05-02
1651460400000,2022-05-02 03:00:00,APE/USD,16.383,16.609,16.228,16.604,11317.587447,187917.221969988,2022-05-02
1651456800000,2022-05-02 02:00:00,APE/USD,16.298,16.426,16.145,16.383,6028.610608,98766.727590864,2022-05-02
1651453200000,2022-05-02 01:00:00,APE/USD,16.586,16.804,16.134,16.298,23006.828295,374965.28755191,2022-05-02
1651449600000,2022-05-02 00:00:00,APE/USD,15.873,16.586,15.869,16.586,32943.162366,546395.2910024759,2022-05-02
