unix,date,symbol,open,high,low,close,Volume APE,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,APE/USD,14.104,14.178,13.979,14.156,4170.430255,59036.610689780005,2022-05-03
1651615200000,2022-05-03 22:00:00,APE/USD,14.046,14.236,13.979,14.104,15684.563631,221215.085451624,2022-05-03
1651611600000,2022-05-03 21:00:00,APE/USD,14.145,14.19,13.88,14.046,8940.347153,125576.116111038,2022-05-03
1651608000000,2022-05-03 20:00:00,APE/USD,14.681,14.775,13.946,14.145,11567.654519,163624.473171255,2022-05-03
1651604400000,2022-05-03 19:00:00,APE/USD,15.086,15.101,14.502,14.681,4579.393935,67230.082359735,2022-05-03
1651600800000,2022-05-03 18:00:00,APE/USD,14.585,15.095,14.402,15.086,8729.649974,131695.499507764,2022-05-03
1651597200000,2022-05-03 17:00:00,APE/USD,14.538,14.667,14.376,14.585,6601.985542,96289.95913007,2022-05-03
1651593600000,2022-05-03 16:00:00,APE/USD,14.753,14.767,14.464,14.538,5607.307946,81519.042918948,2022-05-03
1651590000000,2022-05-03 15:00:00,APE/USD,14.747,14.841,14.591,14.753,2280.265962,33640.763737386,2022-05-03
1651586400000,2022-05-03 14:00:00,APE/USD,14.885,15.021,14.574,14.747,3432.242843,50615.285205721,2022-05-03
1651582800000,2022-05-03 13:00:00,APE/USD,15.183,15.229,14.679,14.885,5467.524102,81384.09625827,2022-05-03
1651579200000,2022-05-03 12:00:00,APE/USD,15.462,15.488,15.183,15.183,2894.77289,43951.33678887,2022-05-03
1651575600000,2022-05-03 11:00:00,APE/USD,15.204,15.486,15.196,15.462,1800.560764,27840.270532968,2022-05-03
1651572000000,2022-05-03 10:00:00,APE/USD,15.354,15.369,15.119,15.204,1623.017431,24676.357020924,2022-05-03
1651568400000,2022-05-03 09:00:00,APE/USD,15.482,15.56,15.27,15.354,7816.889382,120020.519571228,2022-05-03
1651564800000,2022-05-03 08:00:00,APE/USD,15.233,15.778,15.225,15.482,8498.610607,131575.489417574,2022-05-03
1651561200000,2022-05-03 07:00:00,APE/USD,15.164,15.376,14.82,15.233,9209.843975,140293.553271175,2022-05-03
1651557600000,2022-05-03 06:00:00,APE/USD,15.299,15.34,15.134,15.164,1560.14809,23658.08563676,2022-05-03
1651554000000,2022-05-03 05:00:00,APE/USD,15.272,15.445,15.13,15.299,11556.567418,176803.924927982,2022-05-03
1651550400000,2022-05-03 04:00:00,APE/USD,14.685,15.272,14.685,15.272,2522.792118,38528.081226096,2022-05-03
1651546800000,2022-05-03 03:00:00,APE/USD,15.125,15.242,14.623,14.685,3945.652973,57941.913908505005,2022-05-03
1651543200000,2022-05-03 02:00:00,APE/USD,15.422,15.551,15.066,15.125,2916.797073,44116.555729125,2022-05-03
1651539600000,2022-05-03 01:00:00,APE/USD,15.164,15.502,15.065,15.422,2526.801824,38968.337729728,2022-05-03
1651536000000,2022-05-03 00:00:00,APE/USD,15.07,15.446,14.915,15.164,15083.933904,228732.773720256,2022-05-03
