unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,ENJ/USD,1.0911,1.0962,1.0031,1.058,6571.697907,6952.856385606,2022-04-30
1651356000000,2022-04-30 22:00:00,ENJ/USD,1.1242,1.1242,1.0911,1.0911,11447.03713,12489.862212543,2022-04-30
1651352400000,2022-04-30 21:00:00,ENJ/USD,1.1276,1.1306,1.1221,1.1242,885.689159,995.6917525478,2022-04-30
1651348800000,2022-04-30 20:00:00,ENJ/USD,1.1387,1.1387,1.1257,1.1276,1871.102585,2109.855274846,2022-04-30
1651345200000,2022-04-30 19:00:00,ENJ/USD,1.1284,1.1397,1.122,1.1387,32529.73323,37041.607229001005,2022-04-30
1651341600000,2022-04-30 18:00:00,ENJ/USD,1.1238,1.1329,1.1215,1.1284,5267.249854,5943.5647352536,2022-04-30
1651338000000,2022-04-30 17:00:00,ENJ/USD,1.1466,1.1473,1.1192,1.1238,4312.956114,4846.900080913199,2022-04-30
1651334400000,2022-04-30 16:00:00,ENJ/USD,1.1528,1.1605,1.1466,1.1466,31581.231435,36211.03996337101,2022-04-30
1651330800000,2022-04-30 15:00:00,ENJ/USD,1.146,1.1583,1.1397,1.1528,1107.344438,1276.5466681264002,2022-04-30
1651327200000,2022-04-30 14:00:00,ENJ/USD,1.1794,1.1832,1.146,1.146,5387.714437,6174.320744801999,2022-04-30
1651323600000,2022-04-30 13:00:00,ENJ/USD,1.1927,1.1994,1.1792,1.1794,3346.566068,3946.9400205992,2022-04-30
1651320000000,2022-04-30 12:00:00,ENJ/USD,1.1988,1.2025,1.1909,1.1927,1899.921805,2266.0367368235,2022-04-30
1651316400000,2022-04-30 11:00:00,ENJ/USD,1.1953,1.2054,1.1953,1.1988,307.91886,369.133129368,2022-04-30
1651312800000,2022-04-30 10:00:00,ENJ/USD,1.1911,1.2044,1.19,1.1953,4174.561135,4989.8529246655,2022-04-30
1651309200000,2022-04-30 09:00:00,ENJ/USD,1.1968,1.1995,1.1892,1.1911,474.365118,565.0162920498,2022-04-30
1651305600000,2022-04-30 08:00:00,ENJ/USD,1.2093,1.2093,1.19,1.1968,640.190115,766.179529632,2022-04-30
1651302000000,2022-04-30 07:00:00,ENJ/USD,1.2165,1.2211,1.2066,1.2093,764.252956,924.2110996908,2022-04-30
1651298400000,2022-04-30 06:00:00,ENJ/USD,1.2214,1.2214,1.2139,1.2165,339.128462,412.549774023,2022-04-30
1651294800000,2022-04-30 05:00:00,ENJ/USD,1.2118,1.2222,1.2117,1.2214,286.651033,350.1155717062,2022-04-30
1651291200000,2022-04-30 04:00:00,ENJ/USD,1.205,1.2118,1.2027,1.2118,376.76367,456.562215306,2022-04-30
1651287600000,2022-04-30 03:00:00,ENJ/USD,1.2135,1.2146,1.1997,1.205,743.326025,895.707860125,2022-04-30
1651284000000,2022-04-30 02:00:00,ENJ/USD,1.2223,1.2228,1.2108,1.2135,1038.955816,1260.772882716,2022-04-30
1651280400000,2022-04-30 01:00:00,ENJ/USD,1.2162,1.2224,1.2146,1.2223,2694.766864,3293.8135378672,2022-04-30
1651276800000,2022-04-30 00:00:00,ENJ/USD,1.2079,1.2169,1.2071,1.2162,1094.74385,1331.42747037,2022-04-30
