unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,DOGE/USD,0.13484,0.136,0.13408,0.13487,456223.032896,61530.80044668352,2022-04-29
1651269600000,2022-04-29 22:00:00,DOGE/USD,0.13536,0.13536,0.13362,0.13484,145387.609037,19604.06520254908,2022-04-29
1651266000000,2022-04-29 21:00:00,DOGE/USD,0.13515,0.13587,0.13447,0.13536,1713271.659262,231908.45179770436,2022-04-29
1651262400000,2022-04-29 20:00:00,DOGE/USD,0.13427,0.13578,0.1342,0.13515,350390.128299,47355.22583960984,2022-04-29
1651258800000,2022-04-29 19:00:00,DOGE/USD,0.13486,0.13601,0.13315,0.13427,900618.25614,120926.0132519178,2022-04-29
1651255200000,2022-04-29 18:00:00,DOGE/USD,0.13759,0.13768,0.13346,0.13486,1262980.588479,170325.56216227793,2022-04-29
1651251600000,2022-04-29 17:00:00,DOGE/USD,0.13703,0.13887,0.13683,0.13759,457402.802113,62934.05154272767,2022-04-29
1651248000000,2022-04-29 16:00:00,DOGE/USD,0.13832,0.13887,0.13644,0.13703,208473.069578,28567.064724273343,2022-04-29
1651244400000,2022-04-29 15:00:00,DOGE/USD,0.13815,0.13904,0.13734,0.13832,165231.662847,22854.84360499704,2022-04-29
1651240800000,2022-04-29 14:00:00,DOGE/USD,0.14092,0.14092,0.13726,0.13815,328389.840577,45367.05647571255,2022-04-29
1651237200000,2022-04-29 13:00:00,DOGE/USD,0.13835,0.14125,0.1379,0.14092,165791.260683,23363.30445544836,2022-04-29
1651233600000,2022-04-29 12:00:00,DOGE/USD,0.13815,0.13959,0.13807,0.13835,376880.765758,52141.4539426193,2022-04-29
1651230000000,2022-04-29 11:00:00,DOGE/USD,0.13631,0.13841,0.13617,0.13815,155144.912829,21433.26970732635,2022-04-29
1651226400000,2022-04-29 10:00:00,DOGE/USD,0.13767,0.13804,0.13556,0.13631,544630.318045,74238.55865271394,2022-04-29
1651222800000,2022-04-29 09:00:00,DOGE/USD,0.1379,0.13865,0.13722,0.13767,143830.887549,19801.19828887083,2022-04-29
1651219200000,2022-04-29 08:00:00,DOGE/USD,0.14082,0.14087,0.13771,0.1379,276014.095549,38062.343776207104,2022-04-29
1651215600000,2022-04-29 07:00:00,DOGE/USD,0.14128,0.1414,0.14007,0.14082,203420.785418,28645.715002562763,2022-04-29
1651212000000,2022-04-29 06:00:00,DOGE/USD,0.14224,0.14236,0.14012,0.14128,380317.957205,53731.3209939224,2022-04-29
1651208400000,2022-04-29 05:00:00,DOGE/USD,0.14473,0.14484,0.14139,0.14224,493233.04365,70157.468128776,2022-04-29
1651204800000,2022-04-29 04:00:00,DOGE/USD,0.14151,0.14502,0.14005,0.14473,694964.561602,100582.22100065746,2022-04-29
1651201200000,2022-04-29 03:00:00,DOGE/USD,0.13676,0.14226,0.1359,0.14151,716619.920291,101408.8849203794,2022-04-29
1651197600000,2022-04-29 02:00:00,DOGE/USD,0.13805,0.13805,0.13635,0.13676,339280.407456,46399.98852368256,2022-04-29
1651194000000,2022-04-29 01:00:00,DOGE/USD,0.13818,0.13877,0.1377,0.13805,83237.858106,11490.9863115333,2022-04-29
1651190400000,2022-04-29 00:00:00,DOGE/USD,0.1376,0.13818,0.13727,0.13818,52442.272465,7246.4732092137,2022-04-29
