unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,1INCH/USD,1.18,1.191,1.0718,1.12,8022.716596,8985.442587520001,2022-04-30
1651356000000,2022-04-30 22:00:00,1INCH/USD,1.2162,1.2162,1.18,1.18,1545.291753,1823.44426854,2022-04-30
1651352400000,2022-04-30 21:00:00,1INCH/USD,1.2172,1.2203,1.2137,1.2162,609.749038,741.5767800156,2022-04-30
1651348800000,2022-04-30 20:00:00,1INCH/USD,1.2196,1.2244,1.2152,1.2172,608.696724,740.9056524528,2022-04-30
1651345200000,2022-04-30 19:00:00,1INCH/USD,1.2252,1.2262,1.2123,1.2196,385.856468,470.5905483728,2022-04-30
1651341600000,2022-04-30 18:00:00,1INCH/USD,1.2317,1.2365,1.2178,1.2252,1075.575892,1317.7955828784002,2022-04-30
1651338000000,2022-04-30 17:00:00,1INCH/USD,1.2435,1.245,1.2272,1.2317,43.286221,53.3156384057,2022-04-30
1651334400000,2022-04-30 16:00:00,1INCH/USD,1.2555,1.2598,1.2423,1.2435,510.927294,635.338090089,2022-04-30
1651330800000,2022-04-30 15:00:00,1INCH/USD,1.2444,1.2589,1.2438,1.2555,381.40096,478.84890528,2022-04-30
1651327200000,2022-04-30 14:00:00,1INCH/USD,1.2866,1.293,1.2444,1.2444,691.328277,860.2889078988,2022-04-30
1651323600000,2022-04-30 13:00:00,1INCH/USD,1.302,1.3056,1.2845,1.2866,741.245567,953.6865465022,2022-04-30
1651320000000,2022-04-30 12:00:00,1INCH/USD,1.2973,1.3139,1.2973,1.302,4967.648703,6467.878611306,2022-04-30
1651316400000,2022-04-30 11:00:00,1INCH/USD,1.33,1.3307,1.2973,1.2973,329.155747,427.0137505831,2022-04-30
1651312800000,2022-04-30 10:00:00,1INCH/USD,1.2739,1.3529,1.2739,1.33,2661.088603,3539.2478419900003,2022-04-30
1651309200000,2022-04-30 09:00:00,1INCH/USD,1.2743,1.2764,1.2688,1.2739,128.575517,163.7923511063,2022-04-30
1651305600000,2022-04-30 08:00:00,1INCH/USD,1.2627,1.2743,1.253,1.2743,126.888025,161.6934102575,2022-04-30
1651302000000,2022-04-30 07:00:00,1INCH/USD,1.2685,1.2727,1.2614,1.2627,407.694101,514.7953413327,2022-04-30
1651298400000,2022-04-30 06:00:00,1INCH/USD,1.2722,1.2736,1.2656,1.2685,172.142642,218.362941377,2022-04-30
1651294800000,2022-04-30 05:00:00,1INCH/USD,1.2586,1.2737,1.2579,1.2722,269.90923,343.37852240599995,2022-04-30
1651291200000,2022-04-30 04:00:00,1INCH/USD,1.2573,1.2645,1.2539,1.2586,172.806255,217.493952543,2022-04-30
1651287600000,2022-04-30 03:00:00,1INCH/USD,1.2574,1.259,1.2491,1.2573,953.992429,1199.4546809817,2022-04-30
1651284000000,2022-04-30 02:00:00,1INCH/USD,1.2647,1.275,1.2546,1.2574,548.970994,690.2761278556001,2022-04-30
1651280400000,2022-04-30 01:00:00,1INCH/USD,1.2645,1.2681,1.26,1.2647,290.398863,367.2674420361,2022-04-30
1651276800000,2022-04-30 00:00:00,1INCH/USD,1.2595,1.269,1.2568,1.2645,1689.197696,2135.990486592,2022-04-30
