unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,BTCG/USD,38320.83,38411.01,37512.5,38403.52,0.75270851,28906.6563179552,2022-04-30
1651356000000,2022-04-30 22:00:00,BTCG/USD,38317.61,38340.01,38229.91,38320.83,0.01447888,554.8426990704,2022-04-30
1651352400000,2022-04-30 21:00:00,BTCG/USD,38317.61,38317.61,38317.61,38317.61,0.0,0.0,2022-04-30
1651348800000,2022-04-30 20:00:00,BTCG/USD,38384.8,38437.19,38317.61,38317.61,0.00398617,152.7405074537,2022-04-30
1651345200000,2022-04-30 19:00:00,BTCG/USD,38332.5,38384.8,38332.5,38384.8,0.07656615,2938.9763545200003,2022-04-30
1651341600000,2022-04-30 18:00:00,BTCG/USD,38349.62,38349.62,38211.5,38332.5,0.00548915,210.412842375,2022-04-30
1651338000000,2022-04-30 17:00:00,BTCG/USD,38469.3,38497.71,38303.94,38349.62,0.56297468,21589.8650476216,2022-04-30
1651334400000,2022-04-30 16:00:00,BTCG/USD,38469.3,38562.19,38469.3,38469.3,0.000274,10.5405882,2022-04-30
1651330800000,2022-04-30 15:00:00,BTCG/USD,38296.15,38514.41,38272.05,38469.3,0.07060872,2716.268032296,2022-04-30
1651327200000,2022-04-30 14:00:00,BTCG/USD,38563.44,38563.44,38296.15,38296.15,0.17784953,6810.952278309501,2022-04-30
1651323600000,2022-04-30 13:00:00,BTCG/USD,38608.13,38608.13,38563.44,38563.44,0.0005083,19.601796552000003,2022-04-30
1651320000000,2022-04-30 12:00:00,BTCG/USD,38564.66,38608.13,38564.66,38608.13,0.00634775,245.0747572075,2022-04-30
1651316400000,2022-04-30 11:00:00,BTCG/USD,38564.66,38564.66,38564.66,38564.66,0.0,0.0,2022-04-30
1651312800000,2022-04-30 10:00:00,BTCG/USD,38564.66,38564.66,38564.66,38564.66,0.0,0.0,2022-04-30
1651309200000,2022-04-30 09:00:00,BTCG/USD,38564.66,38564.66,38564.66,38564.66,0.0,0.0,2022-04-30
1651305600000,2022-04-30 08:00:00,BTCG/USD,38653.23,38653.23,38564.66,38564.66,0.00025651,9.8922209366,2022-04-30
1651302000000,2022-04-30 07:00:00,BTCG/USD,38745.28,38745.28,38653.23,38653.23,0.10155793,3925.542026613901,2022-04-30
1651298400000,2022-04-30 06:00:00,BTCG/USD,38733.97,38745.28,38627.05,38745.28,0.00189138,73.28204768639999,2022-04-30
1651294800000,2022-04-30 05:00:00,BTCG/USD,38622.53,38733.97,38622.53,38733.97,0.0052395,202.946635815,2022-04-30
1651291200000,2022-04-30 04:00:00,BTCG/USD,38645.92,38645.92,38622.53,38622.53,0.00060902,23.521893220600003,2022-04-30
1651287600000,2022-04-30 03:00:00,BTCG/USD,38693.57,38693.57,38595.92,38645.92,0.04540198,1754.6012869216,2022-04-30
1651284000000,2022-04-30 02:00:00,BTCG/USD,38670.62,38693.57,38670.62,38693.57,0.05,1934.6785,2022-04-30
1651280400000,2022-04-30 01:00:00,BTCG/USD,38600.18,38670.62,38600.18,38670.62,0.00508753,196.7379393686,2022-04-30
1651276800000,2022-04-30 00:00:00,BTCG/USD,38590.0,38600.18,38590.0,38600.18,0.011,424.60198,2022-04-30
