unix,date,symbol,open,high,low,close,Volume API3,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,API3/USD,3.6,3.6,3.332,3.333,3081.055813,10269.159024729,2022-04-30
1651356000000,2022-04-30 22:00:00,API3/USD,3.601,3.601,3.6,3.6,189.760516,683.1378576,2022-04-30
1651352400000,2022-04-30 21:00:00,API3/USD,3.606,3.625,3.6,3.601,594.676861,2141.431376461,2022-04-30
1651348800000,2022-04-30 20:00:00,API3/USD,3.677,3.741,3.6,3.606,1374.938268,4958.027394408,2022-04-30
1651345200000,2022-04-30 19:00:00,API3/USD,3.682,3.682,3.677,3.677,718.209981,2640.858100137,2022-04-30
1651341600000,2022-04-30 18:00:00,API3/USD,3.75,3.751,3.68,3.682,2521.1391,9282.8341662,2022-04-30
1651338000000,2022-04-30 17:00:00,API3/USD,3.751,3.751,3.75,3.75,120.256272,450.96102,2022-04-30
1651334400000,2022-04-30 16:00:00,API3/USD,3.818,3.819,3.75,3.751,514.36111,1929.36852361,2022-04-30
1651330800000,2022-04-30 15:00:00,API3/USD,3.821,3.822,3.818,3.818,17.904165,68.35810196999999,2022-04-30
1651327200000,2022-04-30 14:00:00,API3/USD,3.828,3.832,3.821,3.821,750.432784,2867.403667664,2022-04-30
1651323600000,2022-04-30 13:00:00,API3/USD,3.857,3.857,3.828,3.828,6.132265,23.47431042,2022-04-30
1651320000000,2022-04-30 12:00:00,API3/USD,3.835,3.857,3.821,3.857,168.191752,648.715587464,2022-04-30
1651316400000,2022-04-30 11:00:00,API3/USD,3.804,3.835,3.804,3.835,0.964986,3.70072131,2022-04-30
1651312800000,2022-04-30 10:00:00,API3/USD,3.803,3.81,3.802,3.804,0.921483,3.505321332,2022-04-30
1651309200000,2022-04-30 09:00:00,API3/USD,3.802,3.803,3.802,3.803,0.735001,2.795208803,2022-04-30
1651305600000,2022-04-30 08:00:00,API3/USD,3.803,3.803,3.802,3.802,3.601072,13.691275744,2022-04-30
1651302000000,2022-04-30 07:00:00,API3/USD,3.83,3.83,3.803,3.803,2.132007,8.108022621,2022-04-30
1651298400000,2022-04-30 06:00:00,API3/USD,3.848,3.848,3.805,3.83,112.072868,429.23908444,2022-04-30
1651294800000,2022-04-30 05:00:00,API3/USD,3.801,3.864,3.801,3.848,447.406714,1721.621035472,2022-04-30
1651291200000,2022-04-30 04:00:00,API3/USD,3.799,3.801,3.799,3.801,171.53226,651.99412026,2022-04-30
1651287600000,2022-04-30 03:00:00,API3/USD,3.799,3.8,3.799,3.799,114.947309,436.684826891,2022-04-30
1651284000000,2022-04-30 02:00:00,API3/USD,3.779,3.801,3.779,3.799,349.047156,1326.030145644,2022-04-30
1651280400000,2022-04-30 01:00:00,API3/USD,3.779,3.779,3.767,3.779,20.447057,77.269428403,2022-04-30
1651276800000,2022-04-30 00:00:00,API3/USD,3.751,3.779,3.751,3.779,152.43996,576.0706088400001,2022-04-30
