unix,date,symbol,open,high,low,close,Volume CTX,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,CTX/USD,5.0604,5.0855,5.0434,5.051,193.005099,974.868755049,2022-05-03
1651615200000,2022-05-03 22:00:00,CTX/USD,5.0416,5.0647,5.0416,5.0604,98.243407,497.1509367828,2022-05-03
1651611600000,2022-05-03 21:00:00,CTX/USD,5.0423,5.0491,5.0213,5.0416,3.375011,17.0154554576,2022-05-03
1651608000000,2022-05-03 20:00:00,CTX/USD,5.0124,5.0423,5.0124,5.0423,0.18059,0.910588957,2022-05-03
1651604400000,2022-05-03 19:00:00,CTX/USD,5.0077,5.0423,5.0077,5.0124,19.324421,96.8617278204,2022-05-03
1651600800000,2022-05-03 18:00:00,CTX/USD,5.0423,5.0423,5.0077,5.0077,30.06205,150.54172778499998,2022-05-03
1651597200000,2022-05-03 17:00:00,CTX/USD,5.0,5.0444,5.0,5.0423,0.630964,3.1815097772,2022-05-03
1651593600000,2022-05-03 16:00:00,CTX/USD,5.1217,5.1217,5.0,5.0,15.735826,78.67913,2022-05-03
1651590000000,2022-05-03 15:00:00,CTX/USD,5.1217,5.1217,5.1021,5.1217,3.904425,19.9972935225,2022-05-03
1651586400000,2022-05-03 14:00:00,CTX/USD,5.1035,5.1218,5.09,5.1217,246.009181,1259.9852223277,2022-05-03
1651582800000,2022-05-03 13:00:00,CTX/USD,5.1213,5.1213,5.1035,5.1035,0.069874,0.3566019590000001,2022-05-03
1651579200000,2022-05-03 12:00:00,CTX/USD,5.1046,5.1213,5.1035,5.1213,0.114902,0.5884476126,2022-05-03
1651575600000,2022-05-03 11:00:00,CTX/USD,5.0741,5.1046,5.0741,5.1046,0.159632,0.8148575071999999,2022-05-03
1651572000000,2022-05-03 10:00:00,CTX/USD,5.1067,5.1067,5.0741,5.0741,0.211847,1.0749328627,2022-05-03
1651568400000,2022-05-03 09:00:00,CTX/USD,5.1144,5.1144,5.0741,5.1067,2.354189,12.0221369663,2022-05-03
1651564800000,2022-05-03 08:00:00,CTX/USD,5.1144,5.1756,5.0741,5.1144,981.078974,5017.6303046256,2022-05-03
1651561200000,2022-05-03 07:00:00,CTX/USD,5.1411,5.1411,5.1144,5.1144,24.982093,127.7684164392,2022-05-03
1651557600000,2022-05-03 06:00:00,CTX/USD,5.159,5.159,5.1411,5.1411,0.253514,1.3033408254,2022-05-03
1651554000000,2022-05-03 05:00:00,CTX/USD,5.1567,5.1596,5.1456,5.159,0.102017,0.526305703,2022-05-03
1651550400000,2022-05-03 04:00:00,CTX/USD,5.1567,5.1567,5.1335,5.1567,0.211266,1.0894353822,2022-05-03
1651546800000,2022-05-03 03:00:00,CTX/USD,5.1548,5.1957,5.1548,5.1567,0.065427,0.3373874108999999,2022-05-03
1651543200000,2022-05-03 02:00:00,CTX/USD,5.1537,5.1548,5.1508,5.1548,23.859357,122.9902134636,2022-05-03
1651539600000,2022-05-03 01:00:00,CTX/USD,5.1272,5.1592,5.1236,5.1537,123.318344,635.5457494727999,2022-05-03
1651536000000,2022-05-03 00:00:00,CTX/USD,5.1874,5.1874,5.1272,5.1272,24.470401,125.4646400072,2022-05-03
