unix,date,symbol,open,high,low,close,Volume DPI,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,DPI/USD,141.25,141.25,140.07,140.07,0.341028,47.76779196,2022-05-03
1651615200000,2022-05-03 22:00:00,DPI/USD,140.72,141.25,140.72,141.25,0.562729,79.48547125,2022-05-03
1651611600000,2022-05-03 21:00:00,DPI/USD,139.3,140.72,139.3,140.72,2.53963,357.3767336,2022-05-03
1651608000000,2022-05-03 20:00:00,DPI/USD,139.3,139.3,139.3,139.3,0.0,0.0,2022-05-03
1651604400000,2022-05-03 19:00:00,DPI/USD,143.48,143.48,139.3,139.3,0.072717,10.129478100000002,2022-05-03
1651600800000,2022-05-03 18:00:00,DPI/USD,143.48,143.48,143.48,143.48,0.0,0.0,2022-05-03
1651597200000,2022-05-03 17:00:00,DPI/USD,144.65,144.65,143.48,143.48,0.007004,1.0049339199999998,2022-05-03
1651593600000,2022-05-03 16:00:00,DPI/USD,144.65,144.65,144.65,144.65,0.0,0.0,2022-05-03
1651590000000,2022-05-03 15:00:00,DPI/USD,144.95,144.95,144.65,144.65,1.011211,146.27167115000003,2022-05-03
1651586400000,2022-05-03 14:00:00,DPI/USD,144.0,144.95,144.0,144.95,0.002846,0.4125276999999999,2022-05-03
1651582800000,2022-05-03 13:00:00,DPI/USD,145.77,145.77,144.0,144.0,0.277554,39.967776,2022-05-03
1651579200000,2022-05-03 12:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0,2022-05-03
1651575600000,2022-05-03 11:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0,2022-05-03
1651572000000,2022-05-03 10:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0,2022-05-03
1651568400000,2022-05-03 09:00:00,DPI/USD,143.77,145.77,143.77,145.77,0.066,9.620820000000002,2022-05-03
1651564800000,2022-05-03 08:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0,2022-05-03
1651561200000,2022-05-03 07:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0,2022-05-03
1651554000000,2022-05-03 05:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0,2022-05-03
1651550400000,2022-05-03 04:00:00,DPI/USD,143.62,143.77,143.62,143.77,0.548347,78.83584819000001,2022-05-03
1651546800000,2022-05-03 03:00:00,DPI/USD,143.62,143.62,143.62,143.62,0.0,0.0,2022-05-03
1651543200000,2022-05-03 02:00:00,DPI/USD,142.97,143.62,142.97,143.62,1.017863,146.18548406,2022-05-03
1651539600000,2022-05-03 01:00:00,DPI/USD,143.08,143.08,142.97,142.97,1.681731,240.43708107,2022-05-03
1651536000000,2022-05-03 00:00:00,DPI/USD,144.07,144.07,143.08,143.08,0.674617,96.52420036,2022-05-03
