unix,date,symbol,open,high,low,close,Volume AUDIO,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,AUDIO/USD,0.826,0.826,0.818,0.825,2365.679697,1951.685750025,2022-05-03
1651615200000,2022-05-03 22:00:00,AUDIO/USD,0.825,0.834,0.823,0.826,642.84041,530.98617866,2022-05-03
1651611600000,2022-05-03 21:00:00,AUDIO/USD,0.814,0.827,0.812,0.825,7503.626061,6190.491500325,2022-05-03
1651608000000,2022-05-03 20:00:00,AUDIO/USD,0.817,0.817,0.808,0.814,11289.441388,9189.605289832,2022-05-03
1651604400000,2022-05-03 19:00:00,AUDIO/USD,0.833,0.833,0.813,0.817,1038.904377,848.784876009,2022-05-03
1651600800000,2022-05-03 18:00:00,AUDIO/USD,0.838,0.841,0.828,0.833,389.958449,324.835388017,2022-05-03
1651597200000,2022-05-03 17:00:00,AUDIO/USD,0.842,0.851,0.838,0.838,731.586379,613.0693856019999,2022-05-03
1651593600000,2022-05-03 16:00:00,AUDIO/USD,0.845,0.849,0.832,0.842,1126.749903,948.723418326,2022-05-03
1651590000000,2022-05-03 15:00:00,AUDIO/USD,0.84,0.851,0.838,0.845,7189.428091,6075.066736895,2022-05-03
1651586400000,2022-05-03 14:00:00,AUDIO/USD,0.852,0.855,0.838,0.84,269.530529,226.40564436,2022-05-03
1651582800000,2022-05-03 13:00:00,AUDIO/USD,0.868,0.868,0.846,0.852,777.134312,662.118433824,2022-05-03
1651579200000,2022-05-03 12:00:00,AUDIO/USD,0.872,0.872,0.861,0.868,542.729849,471.089508932,2022-05-03
1651575600000,2022-05-03 11:00:00,AUDIO/USD,0.853,0.872,0.852,0.872,700.9907,611.2638903999999,2022-05-03
1651572000000,2022-05-03 10:00:00,AUDIO/USD,0.851,0.856,0.848,0.853,1858.030572,1584.900077916,2022-05-03
1651568400000,2022-05-03 09:00:00,AUDIO/USD,0.87,0.87,0.85,0.851,1014.49161,863.33236011,2022-05-03
1651564800000,2022-05-03 08:00:00,AUDIO/USD,0.869,0.874,0.868,0.87,7793.482362,6780.32965494,2022-05-03
1651561200000,2022-05-03 07:00:00,AUDIO/USD,0.873,0.875,0.864,0.869,186.906848,162.422050912,2022-05-03
1651557600000,2022-05-03 06:00:00,AUDIO/USD,0.877,0.88,0.872,0.873,2691.709203,2349.862134219,2022-05-03
1651554000000,2022-05-03 05:00:00,AUDIO/USD,0.87,0.877,0.865,0.877,338.833743,297.157192611,2022-05-03
1651550400000,2022-05-03 04:00:00,AUDIO/USD,0.866,0.87,0.865,0.87,7.768387,6.758496689999999,2022-05-03
1651546800000,2022-05-03 03:00:00,AUDIO/USD,0.863,0.871,0.863,0.866,905.604931,784.2538702459999,2022-05-03
1651543200000,2022-05-03 02:00:00,AUDIO/USD,0.869,0.875,0.857,0.863,30451.312096,26279.482338848,2022-05-03
1651539600000,2022-05-03 01:00:00,AUDIO/USD,0.839,0.872,0.839,0.869,22115.637103,19218.488642507,2022-05-03
1651536000000,2022-05-03 00:00:00,AUDIO/USD,0.84,0.85,0.835,0.839,12987.642895,10896.632388905,2022-05-03
