unix,date,symbol,open,high,low,close,Volume SBR,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0,2022-05-03
1651615200000,2022-05-03 22:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0,2022-05-03
1651611600000,2022-05-03 21:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0,2022-05-03
1651608000000,2022-05-03 20:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0,2022-05-03
1651604400000,2022-05-03 19:00:00,SBR/USD,0.02403,0.024078,0.02403,0.024078,20721.985915,498.94397686137,2022-05-03
1651600800000,2022-05-03 18:00:00,SBR/USD,0.023241,0.02403,0.023241,0.02403,20.807324,0.49999999572,2022-05-03
1651597200000,2022-05-03 17:00:00,SBR/USD,0.02403,0.02403,0.023241,0.023241,398.159329,9.253620965289,2022-05-03
1651593600000,2022-05-03 16:00:00,SBR/USD,0.023777,0.02403,0.023777,0.02403,46378.736496,1114.48103799888,2022-05-03
1651590000000,2022-05-03 15:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,48.0,1.141296,2022-05-03
1651586400000,2022-05-03 14:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,0.0,0.0,2022-05-03
1651582800000,2022-05-03 13:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,0.0,0.0,2022-05-03
1651579200000,2022-05-03 12:00:00,SBR/USD,0.022276,0.023777,0.022276,0.023777,418.48008,9.95020086216,2022-05-03
1651575600000,2022-05-03 11:00:00,SBR/USD,0.021573,0.022276,0.021573,0.022276,5000.0,111.38,2022-05-03
1651572000000,2022-05-03 10:00:00,SBR/USD,0.020103,0.021573,0.020103,0.021573,18.541695,0.399999986235,2022-05-03
1651568400000,2022-05-03 09:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651564800000,2022-05-03 08:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651561200000,2022-05-03 07:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651554000000,2022-05-03 05:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651550400000,2022-05-03 04:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651546800000,2022-05-03 03:00:00,SBR/USD,0.020103,0.020103,0.020064,0.020103,26952.018421,541.816426317363,2022-05-03
1651543200000,2022-05-03 02:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651539600000,2022-05-03 01:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
1651536000000,2022-05-03 00:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0,2022-05-03
