unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,LQTY/USD,1.552,1.552,1.552,1.552,0.415352,0.644626304,2022-05-02
1651528800000,2022-05-02 22:00:00,LQTY/USD,1.561,1.561,1.552,1.552,3.0,4.656000000000001,2022-05-02
1651525200000,2022-05-02 21:00:00,LQTY/USD,1.562,1.562,1.536,1.561,9.277906,14.482811266,2022-05-02
1651521600000,2022-05-02 20:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0,2022-05-02
1651518000000,2022-05-02 19:00:00,LQTY/USD,1.562,1.562,1.562,1.562,61.789808,96.515680096,2022-05-02
1651514400000,2022-05-02 18:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0,2022-05-02
1651510800000,2022-05-02 17:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.643312,1.004853344,2022-05-02
1651507200000,2022-05-02 16:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0,2022-05-02
1651503600000,2022-05-02 15:00:00,LQTY/USD,1.572,1.572,1.562,1.562,0.263614,0.411765068,2022-05-02
1651500000000,2022-05-02 14:00:00,LQTY/USD,1.564,1.572,1.564,1.572,0.261937,0.4117649639999999,2022-05-02
1651496400000,2022-05-02 13:00:00,LQTY/USD,1.579,1.593,1.564,1.564,3622.956372,5666.303765808,2022-05-02
1651492800000,2022-05-02 12:00:00,LQTY/USD,1.572,1.579,1.572,1.579,27.309812,43.122193148,2022-05-02
1651489200000,2022-05-02 11:00:00,LQTY/USD,1.572,1.572,1.572,1.572,0.0,0.0,2022-05-02
1651485600000,2022-05-02 10:00:00,LQTY/USD,1.561,1.572,1.561,1.572,44.843049,70.493273028,2022-05-02
1651482000000,2022-05-02 09:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651478400000,2022-05-02 08:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651474800000,2022-05-02 07:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651471200000,2022-05-02 06:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651467600000,2022-05-02 05:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651464000000,2022-05-02 04:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0,2022-05-02
1651460400000,2022-05-02 03:00:00,LQTY/USD,1.578,1.578,1.561,1.561,635.060685,991.329729285,2022-05-02
1651456800000,2022-05-02 02:00:00,LQTY/USD,1.578,1.578,1.578,1.578,0.0,0.0,2022-05-02
1651453200000,2022-05-02 01:00:00,LQTY/USD,1.581,1.601,1.566,1.578,2253.722302,3556.3737925560004,2022-05-02
1651449600000,2022-05-02 00:00:00,LQTY/USD,1.656,1.656,1.581,1.581,209.09,330.57129,2022-05-02
