unix,date,symbol,open,high,low,close,Volume AXS,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,AXS/USD,30.2,30.5,30.13,30.31,1327.154188,40226.04343828,2022-05-02
1651528800000,2022-05-02 22:00:00,AXS/USD,30.42,30.58,30.12,30.2,282.905453,8543.7446806,2022-05-02
1651525200000,2022-05-02 21:00:00,AXS/USD,29.9,30.45,29.85,30.42,364.918036,11100.80665512,2022-05-02
1651521600000,2022-05-02 20:00:00,AXS/USD,30.12,30.18,29.89,29.9,62.277318,1862.0918082,2022-05-02
1651518000000,2022-05-02 19:00:00,AXS/USD,30.05,30.16,29.98,30.12,62.566745,1884.5103594,2022-05-02
1651514400000,2022-05-02 18:00:00,AXS/USD,29.9,30.08,29.86,30.05,2361.863558,70973.9999179,2022-05-02
1651510800000,2022-05-02 17:00:00,AXS/USD,30.0,30.06,29.88,29.9,129.440988,3870.2855412,2022-05-02
1651507200000,2022-05-02 16:00:00,AXS/USD,30.34,30.34,29.96,30.0,355.244058,10657.32174,2022-05-02
1651503600000,2022-05-02 15:00:00,AXS/USD,30.86,31.01,30.28,30.34,10.500148,318.57449032,2022-05-02
1651500000000,2022-05-02 14:00:00,AXS/USD,30.84,31.05,30.43,30.86,31.818854,981.92983444,2022-05-02
1651496400000,2022-05-02 13:00:00,AXS/USD,30.15,30.93,30.06,30.84,44.444609,1370.67174156,2022-05-02
1651492800000,2022-05-02 12:00:00,AXS/USD,30.04,30.3,30.0,30.15,16.012023,482.76249345,2022-05-02
1651489200000,2022-05-02 11:00:00,AXS/USD,30.14,30.16,29.95,30.04,50.796553,1525.92845212,2022-05-02
1651485600000,2022-05-02 10:00:00,AXS/USD,30.32,30.49,30.01,30.14,3.989085,120.2310219,2022-05-02
1651482000000,2022-05-02 09:00:00,AXS/USD,30.76,30.94,30.3,30.32,9.989325,302.876334,2022-05-02
1651478400000,2022-05-02 08:00:00,AXS/USD,31.19,31.26,30.76,30.76,33.526125,1031.263605,2022-05-02
1651474800000,2022-05-02 07:00:00,AXS/USD,31.26,31.45,31.19,31.19,2.941806,91.75492914,2022-05-02
1651471200000,2022-05-02 06:00:00,AXS/USD,31.63,31.73,31.26,31.26,12.651727,395.49298602,2022-05-02
1651467600000,2022-05-02 05:00:00,AXS/USD,31.47,31.69,31.39,31.63,83.708176,2647.68960688,2022-05-02
1651464000000,2022-05-02 04:00:00,AXS/USD,31.29,31.5,31.08,31.47,41.649778,1310.71851366,2022-05-02
1651460400000,2022-05-02 03:00:00,AXS/USD,31.31,31.5,31.22,31.29,26.580241,831.69574089,2022-05-02
1651456800000,2022-05-02 02:00:00,AXS/USD,31.45,31.45,31.07,31.31,59.975981,1877.84796511,2022-05-02
1651453200000,2022-05-02 01:00:00,AXS/USD,31.61,31.98,31.41,31.45,166.340673,5231.41416585,2022-05-02
1651449600000,2022-05-02 00:00:00,AXS/USD,31.68,32.13,31.51,31.61,111.539292,3525.75702012,2022-05-02
