unix,date,symbol,open,high,low,close,Volume API3,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,API3/USD,3.218,3.263,3.217,3.217,4097.731536,13182.402351312,2022-05-02
1651528800000,2022-05-02 22:00:00,API3/USD,3.234,3.265,3.217,3.218,268.007818,862.449158324,2022-05-02
1651525200000,2022-05-02 21:00:00,API3/USD,3.187,3.234,3.185,3.234,104.549184,338.112061056,2022-05-02
1651521600000,2022-05-02 20:00:00,API3/USD,3.207,3.212,3.187,3.187,108.614314,346.153818718,2022-05-02
1651518000000,2022-05-02 19:00:00,API3/USD,3.167,3.207,3.166,3.207,153.335227,491.746072989,2022-05-02
1651514400000,2022-05-02 18:00:00,API3/USD,3.17,3.182,3.166,3.167,398.316325,1261.467801275,2022-05-02
1651510800000,2022-05-02 17:00:00,API3/USD,3.202,3.203,3.17,3.17,4752.149469,15064.31381673,2022-05-02
1651507200000,2022-05-02 16:00:00,API3/USD,3.223,3.233,3.202,3.202,8642.939703,27674.692929006,2022-05-02
1651503600000,2022-05-02 15:00:00,API3/USD,3.255,3.256,3.217,3.223,2.013424,6.489265552,2022-05-02
1651500000000,2022-05-02 14:00:00,API3/USD,3.244,3.255,3.2,3.255,448.816731,1460.898459405,2022-05-02
1651496400000,2022-05-02 13:00:00,API3/USD,3.207,3.251,3.16,3.244,822.789336,2669.1286059840004,2022-05-02
1651492800000,2022-05-02 12:00:00,API3/USD,3.203,3.247,3.19,3.207,231.915044,743.751546108,2022-05-02
1651489200000,2022-05-02 11:00:00,API3/USD,3.199,3.222,3.199,3.203,1993.725116,6385.901546548,2022-05-02
1651485600000,2022-05-02 10:00:00,API3/USD,3.256,3.256,3.199,3.199,38.468776,123.06161442399998,2022-05-02
1651482000000,2022-05-02 09:00:00,API3/USD,3.275,3.292,3.248,3.256,766.387816,2495.358728896,2022-05-02
1651478400000,2022-05-02 08:00:00,API3/USD,3.343,3.343,3.264,3.275,132.871976,435.1557214,2022-05-02
1651474800000,2022-05-02 07:00:00,API3/USD,3.321,3.359,3.314,3.343,583.282221,1949.912464803,2022-05-02
1651471200000,2022-05-02 06:00:00,API3/USD,3.342,3.355,3.321,3.321,431.914744,1434.388864824,2022-05-02
1651467600000,2022-05-02 05:00:00,API3/USD,3.338,3.343,3.32,3.342,166.990553,558.0824281260001,2022-05-02
1651464000000,2022-05-02 04:00:00,API3/USD,3.309,3.341,3.299,3.338,189.303419,631.894812622,2022-05-02
1651460400000,2022-05-02 03:00:00,API3/USD,3.332,3.347,3.305,3.309,40.205405,133.039685145,2022-05-02
1651456800000,2022-05-02 02:00:00,API3/USD,3.326,3.339,3.307,3.332,560.544203,1867.733284396,2022-05-02
1651453200000,2022-05-02 01:00:00,API3/USD,3.404,3.418,3.326,3.326,278.908393,927.649315118,2022-05-02
1651449600000,2022-05-02 00:00:00,API3/USD,3.309,3.404,3.294,3.404,1486.163414,5058.900261256,2022-05-02
