unix,date,symbol,open,high,low,close,Volume BOND,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,BOND/USD,6.0851,6.1145,6.0397,6.0632,1120.654911,6794.754856375201,2022-05-02
1651528800000,2022-05-02 22:00:00,BOND/USD,6.1092,6.1315,6.0771,6.0851,60.275775,366.7841184525,2022-05-02
1651525200000,2022-05-02 21:00:00,BOND/USD,6.1105,6.1965,6.0266,6.1092,130.019499,794.3151232908,2022-05-02
1651521600000,2022-05-02 20:00:00,BOND/USD,6.0634,6.1672,6.0634,6.1105,23.027202,140.707717821,2022-05-02
1651518000000,2022-05-02 19:00:00,BOND/USD,6.0122,6.0637,6.0087,6.0634,1062.001914,6439.342405347599,2022-05-02
1651514400000,2022-05-02 18:00:00,BOND/USD,5.9929,6.0126,5.9929,6.0122,4.233237,25.4510674914,2022-05-02
1651510800000,2022-05-02 17:00:00,BOND/USD,6.0315,6.0323,5.9929,5.9929,991.028955,5939.137424419499,2022-05-02
1651507200000,2022-05-02 16:00:00,BOND/USD,6.0696,6.0735,6.0254,6.0315,54.573857,329.1622184955,2022-05-02
1651503600000,2022-05-02 15:00:00,BOND/USD,6.0586,6.0696,6.0436,6.0696,989.596856,6006.457077177601,2022-05-02
1651500000000,2022-05-02 14:00:00,BOND/USD,6.0349,6.0696,5.9991,6.0586,993.395121,6018.5836800906,2022-05-02
1651496400000,2022-05-02 13:00:00,BOND/USD,6.0122,6.0375,5.9815,6.0349,1007.412381,6079.6329780969,2022-05-02
1651492800000,2022-05-02 12:00:00,BOND/USD,5.9929,6.0319,5.98,6.0122,3.387379,20.365600023800003,2022-05-02
1651489200000,2022-05-02 11:00:00,BOND/USD,5.993,6.0102,5.9929,5.9929,5.391056,32.3080595024,2022-05-02
1651485600000,2022-05-02 10:00:00,BOND/USD,6.0011,6.0103,5.9929,5.993,2.369829,14.202385197000002,2022-05-02
1651482000000,2022-05-02 09:00:00,BOND/USD,6.0391,6.0615,5.9929,6.0011,8.588542,51.5406993962,2022-05-02
1651478400000,2022-05-02 08:00:00,BOND/USD,6.1318,6.1318,6.0311,6.0391,993.135064,5997.641965002401,2022-05-02
1651474800000,2022-05-02 07:00:00,BOND/USD,6.1344,6.1444,6.1129,6.1318,972.871578,5965.4539419804005,2022-05-02
1651471200000,2022-05-02 06:00:00,BOND/USD,6.1134,6.1595,6.1134,6.1344,7.195549,44.1403757856,2022-05-02
1651467600000,2022-05-02 05:00:00,BOND/USD,6.1228,6.1344,6.1024,6.1134,1.267803,7.7505868602,2022-05-02
1651464000000,2022-05-02 04:00:00,BOND/USD,6.0909,6.1229,6.0597,6.1228,16.788191,102.7907358548,2022-05-02
1651460400000,2022-05-02 03:00:00,BOND/USD,6.0673,6.0941,6.0673,6.0909,1.155111,7.035665589900001,2022-05-02
1651456800000,2022-05-02 02:00:00,BOND/USD,6.1136,6.1136,6.0575,6.0673,1033.916638,6273.0824177374,2022-05-02
1651453200000,2022-05-02 01:00:00,BOND/USD,6.1409,6.1515,6.09,6.1136,209.180268,1278.8444864448002,2022-05-02
1651449600000,2022-05-02 00:00:00,BOND/USD,6.1406,6.2011,6.1227,6.1409,17.417708,106.9604030572,2022-05-02
