unix,date,symbol,open,high,low,close,Volume RAY,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,RAY/USD,2.166,2.187,2.166,2.169,0.958544,2.079081936,2022-05-02
1651528800000,2022-05-02 22:00:00,RAY/USD,2.185,2.193,2.166,2.166,1.31013,2.83774158,2022-05-02
1651525200000,2022-05-02 21:00:00,RAY/USD,2.152,2.196,2.149,2.185,11.464759,25.050498415000003,2022-05-02
1651521600000,2022-05-02 20:00:00,RAY/USD,2.167,2.167,2.148,2.152,13.708291,29.500242232,2022-05-02
1651518000000,2022-05-02 19:00:00,RAY/USD,2.144,2.167,2.142,2.167,48.418199,104.922237233,2022-05-02
1651514400000,2022-05-02 18:00:00,RAY/USD,2.139,2.154,2.132,2.144,2.243202,4.809425088,2022-05-02
1651510800000,2022-05-02 17:00:00,RAY/USD,2.16,2.16,2.13,2.139,720.92413,1542.0567140699998,2022-05-02
1651507200000,2022-05-02 16:00:00,RAY/USD,2.173,2.18,2.157,2.16,23.986569,51.81098904,2022-05-02
1651503600000,2022-05-02 15:00:00,RAY/USD,2.193,2.193,2.173,2.173,2.20666,4.79507218,2022-05-02
1651500000000,2022-05-02 14:00:00,RAY/USD,2.184,2.193,2.173,2.193,1.355059,2.971644387,2022-05-02
1651496400000,2022-05-02 13:00:00,RAY/USD,2.159,2.189,2.154,2.184,54.608699,119.265398616,2022-05-02
1651492800000,2022-05-02 12:00:00,RAY/USD,2.151,2.176,2.149,2.159,2.557161,5.520910598999999,2022-05-02
1651489200000,2022-05-02 11:00:00,RAY/USD,2.168,2.168,2.151,2.151,2.071345,4.455463095,2022-05-02
1651485600000,2022-05-02 10:00:00,RAY/USD,2.185,2.185,2.164,2.168,2.517035,5.45693188,2022-05-02
1651482000000,2022-05-02 09:00:00,RAY/USD,2.204,2.21,2.185,2.185,2.889625,6.3138306250000005,2022-05-02
1651478400000,2022-05-02 08:00:00,RAY/USD,2.227,2.227,2.185,2.204,1.72816,3.80886464,2022-05-02
1651474800000,2022-05-02 07:00:00,RAY/USD,2.221,2.23,2.221,2.227,1.661334,3.699790818,2022-05-02
1651471200000,2022-05-02 06:00:00,RAY/USD,2.223,2.237,2.221,2.221,1.354889,3.0092084690000003,2022-05-02
1651467600000,2022-05-02 05:00:00,RAY/USD,2.226,2.232,2.212,2.223,0.739026,1.642854798,2022-05-02
1651464000000,2022-05-02 04:00:00,RAY/USD,2.212,2.227,2.204,2.226,2.34222,5.21378172,2022-05-02
1651460400000,2022-05-02 03:00:00,RAY/USD,2.211,2.216,2.207,2.212,6.182544,13.675787328000002,2022-05-02
1651456800000,2022-05-02 02:00:00,RAY/USD,2.221,2.221,2.201,2.211,76.815027,169.83802469699998,2022-05-02
1651453200000,2022-05-02 01:00:00,RAY/USD,2.231,2.239,2.213,2.221,224.711045,499.083230945,2022-05-02
1651449600000,2022-05-02 00:00:00,RAY/USD,2.223,2.237,2.223,2.231,4.50973,10.06120763,2022-05-02
