unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651363140,2022-04-30 23:59:00,BCH/USD,278.46,278.46,278.46,278.46,0.0,0.0,2022-04-30
1651363080,2022-04-30 23:58:00,BCH/USD,278.46,278.46,278.46,278.46,0.103,28.68138,2022-04-30
1651363020,2022-04-30 23:57:00,BCH/USD,278.21,278.21,278.21,278.21,4.81506762,1339.5999625602,2022-04-30
1651362960,2022-04-30 23:56:00,BCH/USD,278.49,278.49,278.49,278.49,1.79711,500.4771639,2022-04-30
1651362900,2022-04-30 23:55:00,BCH/USD,278.32,278.32,278.32,278.32,0.89902,250.2152464,2022-04-30
1651362840,2022-04-30 23:54:00,BCH/USD,280.77,280.77,280.77,280.77,0.0,0.0,2022-04-30
1651362780,2022-04-30 23:53:00,BCH/USD,280.77,280.77,280.77,280.77,0.0,0.0,2022-04-30
1651362720,2022-04-30 23:52:00,BCH/USD,280.04,280.77,280.04,280.77,8.20760271,2304.4486128867,2022-04-30
1651362660,2022-04-30 23:51:00,BCH/USD,278.79,280.52,278.64,280.52,50.04919583,14039.8004142316,2022-04-30
1651362600,2022-04-30 23:50:00,BCH/USD,277.36,277.83,277.24,277.83,8.52674897,2368.9866663351,2022-04-30
1651362540,2022-04-30 23:49:00,BCH/USD,278.08,278.08,277.06,277.28,47.47533,13163.9595024,2022-04-30
1651362480,2022-04-30 23:48:00,BCH/USD,278.82,278.82,278.82,278.82,0.0,0.0,2022-04-30
1651362420,2022-04-30 23:47:00,BCH/USD,278.82,278.82,278.82,278.82,0.0,0.0,2022-04-30
1651362360,2022-04-30 23:46:00,BCH/USD,278.72,278.82,278.72,278.82,26.152,7291.70064,2022-04-30
1651362300,2022-04-30 23:45:00,BCH/USD,278.89,278.89,278.89,278.89,2.0,557.78,2022-04-30
1651362240,2022-04-30 23:44:00,BCH/USD,279.44,279.44,279.44,279.44,0.0,0.0,2022-04-30
1651362180,2022-04-30 23:43:00,BCH/USD,279.44,279.44,279.44,279.44,1.339,374.17016,2022-04-30
1651362120,2022-04-30 23:42:00,BCH/USD,279.66,279.66,279.18,279.46,33.52128,9367.8569088,2022-04-30
1651362060,2022-04-30 23:41:00,BCH/USD,279.48,280.02,279.36,279.84,26.70464087,7473.026701060799,2022-04-30
1651362000,2022-04-30 23:40:00,BCH/USD,277.83,278.78,277.83,278.78,86.84927945,24211.842125071,2022-04-30
1651361940,2022-04-30 23:39:00,BCH/USD,277.58,277.58,277.58,277.58,0.0,0.0,2022-04-30
1651361880,2022-04-30 23:38:00,BCH/USD,277.58,277.58,277.58,277.58,1.352,375.28816,2022-04-30
1651361820,2022-04-30 23:37:00,BCH/USD,275.68,275.68,275.68,275.68,43.5752,12012.811136,2022-04-30
1651361760,2022-04-30 23:36:00,BCH/USD,275.21,275.98,275.21,275.98,53.59573,14791.349565400002,2022-04-30
1651361700,2022-04-30 23:35:00,BCH/USD,275.69,275.69,275.69,275.69,0.0,0.0,2022-04-30
1651361640,2022-04-30 23:34:00,BCH/USD,275.64,275.69,275.64,275.69,16.11,4441.3659,2022-04-30
1651361580,2022-04-30 23:33:00,BCH/USD,275.68,275.68,275.68,275.68,1.1,303.24800000000005,2022-04-30
1651361520,2022-04-30 23:32:00,BCH/USD,276.59,276.59,276.59,276.59,0.0,0.0,2022-04-30
1651361460,2022-04-30 23:31:00,BCH/USD,277.24,277.25,276.59,276.59,8.22026309,2273.6425680631,2022-04-30
1651361400,2022-04-30 23:30:00,BCH/USD,274.6,274.6,274.6,274.6,0.0,0.0,2022-04-30
1651361340,2022-04-30 23:29:00,BCH/USD,274.08,274.6,274.08,274.6,1.18,324.028,2022-04-30
1651361280,2022-04-30 23:28:00,BCH/USD,274.84,274.84,274.42,274.42,1.361,373.48562,2022-04-30
1651361220,2022-04-30 23:27:00,BCH/USD,274.3,274.3,274.3,274.3,0.0,0.0,2022-04-30
1651361160,2022-04-30 23:26:00,BCH/USD,274.3,274.3,274.3,274.3,0.0,0.0,2022-04-30
1651361100,2022-04-30 23:25:00,BCH/USD,274.3,274.3,274.3,274.3,1.9,521.17,2022-04-30
1651361040,2022-04-30 23:24:00,BCH/USD,274.44,274.44,274.44,274.44,1.9,521.4359999999999,2022-04-30
1651360980,2022-04-30 23:23:00,BCH/USD,274.84,274.94,274.84,274.94,48.53379,13343.8802226,2022-04-30
1651360920,2022-04-30 23:22:00,BCH/USD,274.64,275.11,274.64,275.11,1.07487791,295.70966182010005,2022-04-30
1651360860,2022-04-30 23:21:00,BCH/USD,273.84,273.84,273.76,273.76,0.1839,50.344464,2022-04-30
1651360800,2022-04-30 23:20:00,BCH/USD,275.88,275.88,275.88,275.88,0.0,0.0,2022-04-30
1651360740,2022-04-30 23:19:00,BCH/USD,275.88,275.88,275.88,275.88,0.0,0.0,2022-04-30
1651360680,2022-04-30 23:18:00,BCH/USD,276.5,276.59,275.88,275.88,1.067,294.36396,2022-04-30
1651360620,2022-04-30 23:17:00,BCH/USD,275.95,275.95,275.95,275.95,2.82916972,780.7093842339999,2022-04-30
1651360560,2022-04-30 23:16:00,BCH/USD,274.99,274.99,274.99,274.99,0.0,0.0,2022-04-30
1651360500,2022-04-30 23:15:00,BCH/USD,274.99,274.99,274.99,274.99,31.9,8772.181,2022-04-30
1651360440,2022-04-30 23:14:00,BCH/USD,274.96,275.18,274.48,274.48,5.1,1399.848,2022-04-30
1651360380,2022-04-30 23:13:00,BCH/USD,271.48,272.18,271.48,272.09,28.87997964,7857.953660247599,2022-04-30
1651360320,2022-04-30 23:12:00,BCH/USD,269.26,270.24,269.26,269.96,4.90830475,1325.04595031,2022-04-30
1651360260,2022-04-30 23:11:00,BCH/USD,268.88,268.88,267.91,267.91,6.94998512,1861.9705134992005,2022-04-30
1651360200,2022-04-30 23:10:00,BCH/USD,271.25,271.25,270.0,270.0,2.05636,555.2172,2022-04-30
1651360140,2022-04-30 23:09:00,BCH/USD,270.82,270.84,270.34,270.44,11.01317083,2978.4019192652,2022-04-30
1651360080,2022-04-30 23:08:00,BCH/USD,271.76,273.25,271.39,272.31,39.23166358,10683.1743094698,2022-04-30
1651360020,2022-04-30 23:07:00,BCH/USD,275.23,275.64,272.0,272.0,42.07712212,11444.97721664,2022-04-30
1651359960,2022-04-30 23:06:00,BCH/USD,277.67,277.88,276.0,276.0,7.85500345,2167.9809522,2022-04-30
1651359900,2022-04-30 23:05:00,BCH/USD,278.75,278.75,278.75,278.75,7.7246,2153.23225,2022-04-30
