unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,ETH/USD,2781.95,2786.42,2715.0,2727.66,2331.570326,6359731.11541716,2022-04-30
1651356000000,2022-04-30 22:00:00,ETH/USD,2796.51,2797.62,2780.55,2781.95,202.537575,563449.40677125,2022-04-30
1651352400000,2022-04-30 21:00:00,ETH/USD,2790.44,2800.0,2786.93,2796.51,149.57061,418275.7065711,2022-04-30
1651348800000,2022-04-30 20:00:00,ETH/USD,2808.05,2808.05,2787.07,2790.44,104.800833,292440.43643652,2022-04-30
1651345200000,2022-04-30 19:00:00,ETH/USD,2794.49,2811.4,2790.0,2808.05,191.261691,537072.3914125501,2022-04-30
1651341600000,2022-04-30 18:00:00,ETH/USD,2786.1,2795.18,2776.27,2794.49,611.448682,1708687.2273621797,2022-04-30
1651338000000,2022-04-30 17:00:00,ETH/USD,2803.65,2803.91,2782.05,2786.1,234.606481,653637.1167141,2022-04-30
1651334400000,2022-04-30 16:00:00,ETH/USD,2815.47,2825.6,2800.0,2803.65,204.664795,573808.45250175,2022-04-30
1651330800000,2022-04-30 15:00:00,ETH/USD,2779.55,2823.83,2771.96,2815.47,213.019571,599750.21156337,2022-04-30
1651327200000,2022-04-30 14:00:00,ETH/USD,2821.01,2824.56,2779.55,2779.55,247.99084,689302.939322,2022-04-30
1651323600000,2022-04-30 13:00:00,ETH/USD,2825.74,2831.13,2815.05,2821.01,135.540547,382361.23849247006,2022-04-30
1651320000000,2022-04-30 12:00:00,ETH/USD,2831.24,2837.37,2822.62,2825.74,223.513742,631591.72131908,2022-04-30
1651316400000,2022-04-30 11:00:00,ETH/USD,2830.81,2836.11,2829.99,2831.24,24.721713,69993.10271412,2022-04-30
1651312800000,2022-04-30 10:00:00,ETH/USD,2835.02,2839.47,2829.19,2830.81,149.336043,422741.96388483,2022-04-30
1651309200000,2022-04-30 09:00:00,ETH/USD,2826.41,2835.02,2819.48,2835.02,42.672277,120976.75874054,2022-04-30
1651305600000,2022-04-30 08:00:00,ETH/USD,2829.78,2832.99,2821.22,2826.41,41.878616,118366.13904856,2022-04-30
1651302000000,2022-04-30 07:00:00,ETH/USD,2831.0,2832.72,2823.91,2829.78,25.678469,72664.41800682001,2022-04-30
1651298400000,2022-04-30 06:00:00,ETH/USD,2835.81,2837.58,2826.0,2831.0,67.203231,190252.346961,2022-04-30
1651294800000,2022-04-30 05:00:00,ETH/USD,2820.0,2841.65,2820.0,2835.81,116.155334,329394.45771054,2022-04-30
1651291200000,2022-04-30 04:00:00,ETH/USD,2819.92,2824.17,2810.18,2820.0,55.32365,156012.693,2022-04-30
1651287600000,2022-04-30 03:00:00,ETH/USD,2825.27,2826.19,2811.1,2819.92,246.494918,695095.9491665601,2022-04-30
1651284000000,2022-04-30 02:00:00,ETH/USD,2827.87,2838.28,2822.0,2825.27,308.328086,871110.0915332199,2022-04-30
1651280400000,2022-04-30 01:00:00,ETH/USD,2825.07,2835.9,2820.64,2827.87,596.674387,1687317.59876569,2022-04-30
1651276800000,2022-04-30 00:00:00,ETH/USD,2816.69,2828.28,2811.95,2825.07,131.527545,371574.52155315,2022-04-30
