unix,date,symbol,open,high,low,close,Volume ENS,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,ENS/USD,20.653,21.137,19.827,20.513,337.037217,6913.644432321001,2022-04-30
1651356000000,2022-04-30 22:00:00,ENS/USD,21.128,21.926,20.493,20.653,530.972245,10966.169775985,2022-04-30
1651352400000,2022-04-30 21:00:00,ENS/USD,21.312,21.312,20.66,21.128,1140.052673,24087.032875144,2022-04-30
1651348800000,2022-04-30 20:00:00,ENS/USD,21.184,21.615,20.778,21.312,2207.891777,47054.589551424,2022-04-30
1651345200000,2022-04-30 19:00:00,ENS/USD,20.84,21.184,20.545,21.184,681.804246,14443.341147264002,2022-04-30
1651341600000,2022-04-30 18:00:00,ENS/USD,20.583,21.372,20.543,20.84,414.743923,8643.26335532,2022-04-30
1651338000000,2022-04-30 17:00:00,ENS/USD,21.261,21.517,20.365,20.583,1510.699411,31094.725976613,2022-04-30
1651334400000,2022-04-30 16:00:00,ENS/USD,21.842,23.122,21.119,21.261,2759.32535,58666.01626635,2022-04-30
1651330800000,2022-04-30 15:00:00,ENS/USD,20.828,22.222,20.828,21.842,2456.638736,53657.90327171199,2022-04-30
1651327200000,2022-04-30 14:00:00,ENS/USD,21.065,21.858,20.805,20.828,853.394558,17774.501854023998,2022-04-30
1651323600000,2022-04-30 13:00:00,ENS/USD,19.8,21.81,19.765,21.065,2140.527949,45090.221245685,2022-04-30
1651320000000,2022-04-30 12:00:00,ENS/USD,18.903,20.066,18.9,19.8,789.117823,15624.532895400002,2022-04-30
1651316400000,2022-04-30 11:00:00,ENS/USD,17.468,18.903,17.468,18.903,534.130081,10096.660921143,2022-04-30
1651312800000,2022-04-30 10:00:00,ENS/USD,16.752,17.656,16.735,17.468,221.64575,3871.707961,2022-04-30
1651309200000,2022-04-30 09:00:00,ENS/USD,16.852,16.997,16.735,16.752,557.539587,9339.903161424,2022-04-30
1651305600000,2022-04-30 08:00:00,ENS/USD,16.464,16.855,16.464,16.852,291.356247,4909.935474444,2022-04-30
1651302000000,2022-04-30 07:00:00,ENS/USD,17.015,17.105,16.454,16.464,681.397528,11218.528900991998,2022-04-30
1651298400000,2022-04-30 06:00:00,ENS/USD,17.132,17.193,16.903,17.015,118.378246,2014.20585569,2022-04-30
1651294800000,2022-04-30 05:00:00,ENS/USD,17.242,17.363,16.849,17.132,736.913333,12624.799220956,2022-04-30
1651291200000,2022-04-30 04:00:00,ENS/USD,17.187,17.64,17.072,17.242,335.572573,5785.942303666,2022-04-30
1651287600000,2022-04-30 03:00:00,ENS/USD,17.077,17.313,16.98,17.187,435.021122,7476.708023814001,2022-04-30
1651284000000,2022-04-30 02:00:00,ENS/USD,16.765,17.394,16.765,17.077,129.992093,2219.8749721610006,2022-04-30
1651280400000,2022-04-30 01:00:00,ENS/USD,16.518,16.829,16.472,16.765,635.010691,10645.954234615,2022-04-30
1651276800000,2022-04-30 00:00:00,ENS/USD,16.221,16.601,16.221,16.518,204.152841,3372.196627638,2022-04-30
