unix,date,symbol,open,high,low,close,Volume SBR,Volume USD
1651622400000,2022-05-04 00:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0
1651618800000,2022-05-03 23:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0
1651615200000,2022-05-03 22:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0
1651611600000,2022-05-03 21:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0
1651608000000,2022-05-03 20:00:00,SBR/USD,0.024078,0.024078,0.024078,0.024078,0.0,0.0
1651604400000,2022-05-03 19:00:00,SBR/USD,0.02403,0.024078,0.02403,0.024078,20721.985915,498.94397686137
1651600800000,2022-05-03 18:00:00,SBR/USD,0.023241,0.02403,0.023241,0.02403,20.807324,0.49999999572
1651597200000,2022-05-03 17:00:00,SBR/USD,0.02403,0.02403,0.023241,0.023241,398.159329,9.253620965289
1651593600000,2022-05-03 16:00:00,SBR/USD,0.023777,0.02403,0.023777,0.02403,46378.736496,1114.48103799888
1651590000000,2022-05-03 15:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,48.0,1.141296
1651586400000,2022-05-03 14:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,0.0,0.0
1651582800000,2022-05-03 13:00:00,SBR/USD,0.023777,0.023777,0.023777,0.023777,0.0,0.0
1651579200000,2022-05-03 12:00:00,SBR/USD,0.022276,0.023777,0.022276,0.023777,418.48008,9.95020086216
1651575600000,2022-05-03 11:00:00,SBR/USD,0.021573,0.022276,0.021573,0.022276,5000.0,111.38
1651572000000,2022-05-03 10:00:00,SBR/USD,0.020103,0.021573,0.020103,0.021573,18.541695,0.399999986235
1651568400000,2022-05-03 09:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651564800000,2022-05-03 08:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651561200000,2022-05-03 07:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651557600000,2022-05-03 06:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651554000000,2022-05-03 05:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651550400000,2022-05-03 04:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651546800000,2022-05-03 03:00:00,SBR/USD,0.020103,0.020103,0.020064,0.020103,26952.018421,541.816426317363
1651543200000,2022-05-03 02:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651539600000,2022-05-03 01:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651536000000,2022-05-03 00:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651532400000,2022-05-02 23:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651528800000,2022-05-02 22:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651525200000,2022-05-02 21:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651521600000,2022-05-02 20:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651518000000,2022-05-02 19:00:00,SBR/USD,0.020103,0.020103,0.020103,0.020103,0.0,0.0
1651514400000,2022-05-02 18:00:00,SBR/USD,0.021502,0.021502,0.020103,0.020103,3575.389402,71.87605314840599
1651510800000,2022-05-02 17:00:00,SBR/USD,0.021502,0.021502,0.021502,0.021502,338.108082,7.269999979164001
1651507200000,2022-05-02 16:00:00,SBR/USD,0.021502,0.021502,0.021502,0.021502,0.0,0.0
1651503600000,2022-05-02 15:00:00,SBR/USD,0.021529,0.021529,0.021502,0.021502,232.244879,4.993729388258
1651500000000,2022-05-02 14:00:00,SBR/USD,0.021529,0.021529,0.021529,0.021529,0.0,0.0
1651496400000,2022-05-02 13:00:00,SBR/USD,0.021425,0.021529,0.021425,0.021529,6948.718844,149.598967992476
1651492800000,2022-05-02 12:00:00,SBR/USD,0.021425,0.021425,0.021425,0.021425,0.0,0.0
