unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD
1651622400000,2022-05-04 00:00:00,LQTY/USD,1.534,1.534,1.524,1.524,55.18018,84.09459432
1651618800000,2022-05-03 23:00:00,LQTY/USD,1.534,1.534,1.534,1.534,0.0,0.0
1651615200000,2022-05-03 22:00:00,LQTY/USD,1.529,1.534,1.529,1.534,95.337224,146.24730161600002
1651611600000,2022-05-03 21:00:00,LQTY/USD,1.537,1.537,1.529,1.529,34.361488,52.538715152
1651608000000,2022-05-03 20:00:00,LQTY/USD,1.537,1.537,1.537,1.537,0.03,0.04611
1651604400000,2022-05-03 19:00:00,LQTY/USD,1.563,1.563,1.536,1.537,841.047204,1292.689552548
1651600800000,2022-05-03 18:00:00,LQTY/USD,1.563,1.563,1.563,1.563,0.0,0.0
1651597200000,2022-05-03 17:00:00,LQTY/USD,1.557,1.573,1.557,1.563,3886.642614,6074.822405682
1651593600000,2022-05-03 16:00:00,LQTY/USD,1.557,1.557,1.557,1.557,0.0,0.0
1651590000000,2022-05-03 15:00:00,LQTY/USD,1.557,1.557,1.557,1.557,0.0,0.0
1651586400000,2022-05-03 14:00:00,LQTY/USD,1.553,1.557,1.553,1.557,0.26446,0.4117642199999999
1651582800000,2022-05-03 13:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651579200000,2022-05-03 12:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651575600000,2022-05-03 11:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651572000000,2022-05-03 10:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651568400000,2022-05-03 09:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651564800000,2022-05-03 08:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651561200000,2022-05-03 07:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0
1651557600000,2022-05-03 06:00:00,LQTY/USD,1.556,1.556,1.553,1.553,310.001897,481.432946041
1651554000000,2022-05-03 05:00:00,LQTY/USD,1.557,1.557,1.556,1.556,275.127377,428.098198612
1651550400000,2022-05-03 04:00:00,LQTY/USD,1.591,1.591,1.555,1.557,4192.028731,6526.988734167
1651546800000,2022-05-03 03:00:00,LQTY/USD,1.59,1.591,1.59,1.591,60.669168,96.524646288
1651543200000,2022-05-03 02:00:00,LQTY/USD,1.59,1.59,1.59,1.59,0.0,0.0
1651539600000,2022-05-03 01:00:00,LQTY/USD,1.552,1.59,1.552,1.59,41.480316,65.95370244
1651536000000,2022-05-03 00:00:00,LQTY/USD,1.552,1.552,1.552,1.552,0.0,0.0
1651532400000,2022-05-02 23:00:00,LQTY/USD,1.552,1.552,1.552,1.552,0.415352,0.644626304
1651528800000,2022-05-02 22:00:00,LQTY/USD,1.561,1.561,1.552,1.552,3.0,4.656000000000001
1651525200000,2022-05-02 21:00:00,LQTY/USD,1.562,1.562,1.536,1.561,9.277906,14.482811266
1651521600000,2022-05-02 20:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0
1651518000000,2022-05-02 19:00:00,LQTY/USD,1.562,1.562,1.562,1.562,61.789808,96.515680096
1651514400000,2022-05-02 18:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0
1651510800000,2022-05-02 17:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.643312,1.004853344
1651507200000,2022-05-02 16:00:00,LQTY/USD,1.562,1.562,1.562,1.562,0.0,0.0
1651503600000,2022-05-02 15:00:00,LQTY/USD,1.572,1.572,1.562,1.562,0.263614,0.411765068
1651500000000,2022-05-02 14:00:00,LQTY/USD,1.564,1.572,1.564,1.572,0.261937,0.4117649639999999
1651496400000,2022-05-02 13:00:00,LQTY/USD,1.579,1.593,1.564,1.564,3622.956372,5666.303765808
1651492800000,2022-05-02 12:00:00,LQTY/USD,1.572,1.579,1.572,1.579,27.309812,43.122193148
1651489200000,2022-05-02 11:00:00,LQTY/USD,1.572,1.572,1.572,1.572,0.0,0.0
1651485600000,2022-05-02 10:00:00,LQTY/USD,1.561,1.572,1.561,1.572,44.843049,70.493273028
1651482000000,2022-05-02 09:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651478400000,2022-05-02 08:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651474800000,2022-05-02 07:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651471200000,2022-05-02 06:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651467600000,2022-05-02 05:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651464000000,2022-05-02 04:00:00,LQTY/USD,1.561,1.561,1.561,1.561,0.0,0.0
1651460400000,2022-05-02 03:00:00,LQTY/USD,1.578,1.578,1.561,1.561,635.060685,991.329729285
1651456800000,2022-05-02 02:00:00,LQTY/USD,1.578,1.578,1.578,1.578,0.0,0.0
1651453200000,2022-05-02 01:00:00,LQTY/USD,1.581,1.601,1.566,1.578,2253.722302,3556.3737925560004
1651449600000,2022-05-02 00:00:00,LQTY/USD,1.656,1.656,1.581,1.581,209.09,330.57129
1651446000000,2022-05-01 23:00:00,LQTY/USD,1.667,1.667,1.656,1.656,314.602409,520.9815893040001
1651442400000,2022-05-01 22:00:00,LQTY/USD,1.66,1.687,1.66,1.667,813.8829,1356.7427943
1651438800000,2022-05-01 21:00:00,LQTY/USD,1.616,1.661,1.616,1.66,518.953227,861.4623568199999
1651435200000,2022-05-01 20:00:00,LQTY/USD,1.551,1.616,1.551,1.616,3217.897434,5200.1222533440005
1651431600000,2022-05-01 19:00:00,LQTY/USD,1.527,1.551,1.527,1.551,96.80877,150.15040227
1651428000000,2022-05-01 18:00:00,LQTY/USD,1.54,1.555,1.527,1.527,4253.351368,6494.867538935999
1651424400000,2022-05-01 17:00:00,LQTY/USD,1.533,1.54,1.533,1.54,0.652454,1.00477916
1651420800000,2022-05-01 16:00:00,LQTY/USD,1.517,1.533,1.517,1.533,682.966015,1046.9869009949998
1651417200000,2022-05-01 15:00:00,LQTY/USD,1.484,1.517,1.484,1.517,2.71635,4.120702949999999
1651413600000,2022-05-01 14:00:00,LQTY/USD,1.481,1.484,1.481,1.484,26.375158,39.140734472
1651410000000,2022-05-01 13:00:00,LQTY/USD,1.481,1.481,1.481,1.481,0.0,0.0
1651406400000,2022-05-01 12:00:00,LQTY/USD,1.482,1.482,1.481,1.481,33.950972,50.281389532000006
1651402800000,2022-05-01 11:00:00,LQTY/USD,1.482,1.482,1.482,1.482,0.0,0.0
1651399200000,2022-05-01 10:00:00,LQTY/USD,1.521,1.521,1.482,1.482,66.933065,99.19480233
1651395600000,2022-05-01 09:00:00,LQTY/USD,1.556,1.556,1.521,1.521,63.446697,96.502426137
1651392000000,2022-05-01 08:00:00,LQTY/USD,1.556,1.556,1.556,1.556,0.0,0.0
1651388400000,2022-05-01 07:00:00,LQTY/USD,1.557,1.558,1.556,1.556,615.34261,957.47310116
1651384800000,2022-05-01 06:00:00,LQTY/USD,1.508,1.573,1.5,1.557,5957.875622,9276.412343454
1651381200000,2022-05-01 05:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0
1651377600000,2022-05-01 04:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0
1651374000000,2022-05-01 03:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0
1651370400000,2022-05-01 02:00:00,LQTY/USD,1.528,1.528,1.492,1.508,1529.722787,2306.821962796
1651366800000,2022-05-01 01:00:00,LQTY/USD,1.541,1.547,1.527,1.528,511.198111,781.110713608
1651363200000,2022-05-01 00:00:00,LQTY/USD,1.532,1.548,1.532,1.541,2362.084717,3639.972548897
1651359600000,2022-04-30 23:00:00,LQTY/USD,1.548,1.548,1.531,1.532,252.815958,387.314047656
1651356000000,2022-04-30 22:00:00,LQTY/USD,1.582,1.582,1.548,1.548,1860.761843,2880.459332964
1651352400000,2022-04-30 21:00:00,LQTY/USD,1.563,1.582,1.563,1.582,164.270248,259.87553233600005
1651348800000,2022-04-30 20:00:00,LQTY/USD,1.552,1.563,1.552,1.563,305.549988,477.57463124399993
1651345200000,2022-04-30 19:00:00,LQTY/USD,1.549,1.554,1.549,1.552,304.596571,472.733878192
1651341600000,2022-04-30 18:00:00,LQTY/USD,1.572,1.572,1.549,1.549,126.309416,195.653285384
1651338000000,2022-04-30 17:00:00,LQTY/USD,1.584,1.584,1.571,1.572,270.564293,425.32706859600006
1651334400000,2022-04-30 16:00:00,LQTY/USD,1.578,1.588,1.577,1.584,603.808707,956.432991888
1651330800000,2022-04-30 15:00:00,LQTY/USD,1.578,1.578,1.578,1.578,0.0,0.0
1651327200000,2022-04-30 14:00:00,LQTY/USD,1.593,1.593,1.578,1.578,187.328422,295.604249916
1651323600000,2022-04-30 13:00:00,LQTY/USD,1.599,1.599,1.593,1.593,97.330987,155.048262291
1651320000000,2022-04-30 12:00:00,LQTY/USD,1.607,1.614,1.599,1.599,399.811412,639.298447788
1651316400000,2022-04-30 11:00:00,LQTY/USD,1.607,1.607,1.607,1.607,0.0,0.0
1651312800000,2022-04-30 10:00:00,LQTY/USD,1.61,1.61,1.607,1.607,132.820817,213.443052919
1651309200000,2022-04-30 09:00:00,LQTY/USD,1.61,1.61,1.61,1.61,0.0,0.0
1651305600000,2022-04-30 08:00:00,LQTY/USD,1.615,1.615,1.61,1.61,72.628808,116.93238088
1651302000000,2022-04-30 07:00:00,LQTY/USD,1.616,1.618,1.615,1.615,20.412598,32.96634577
1651298400000,2022-04-30 06:00:00,LQTY/USD,1.63,1.63,1.616,1.616,236.058658,381.470791328
1651294800000,2022-04-30 05:00:00,LQTY/USD,1.615,1.63,1.615,1.63,190.348456,310.26798327999995
1651291200000,2022-04-30 04:00:00,LQTY/USD,1.607,1.615,1.607,1.615,10.060492,16.24769458
1651287600000,2022-04-30 03:00:00,LQTY/USD,1.606,1.607,1.606,1.607,149.233494,239.818224858
1651284000000,2022-04-30 02:00:00,LQTY/USD,1.618,1.623,1.605,1.606,2249.761965,3613.1177157900006
1651280400000,2022-04-30 01:00:00,LQTY/USD,1.633,1.633,1.618,1.618,589.611068,953.990708024
1651276800000,2022-04-30 00:00:00,LQTY/USD,1.629,1.633,1.629,1.633,84.122203,137.371557499
