unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,BTCG/USD,38607.57,38607.57,37700.0,37745.52,0.14375281,5426.0245649112,2022-05-03
1651615200000,2022-05-03 22:00:00,BTCG/USD,38607.57,38607.57,38607.57,38607.57,0.00592387,228.7062256959,2022-05-03
1651611600000,2022-05-03 21:00:00,BTCG/USD,37697.59,38607.57,37637.91,38607.57,0.14260065,5505.4645769205,2022-05-03
1651608000000,2022-05-03 20:00:00,BTCG/USD,37510.39,37697.59,37510.39,37697.59,0.60154103,22676.6471171177,2022-05-03
1651604400000,2022-05-03 19:00:00,BTCG/USD,37658.46,37664.67,37510.39,37510.39,0.01613734,605.3179169626,2022-05-03
1651600800000,2022-05-03 18:00:00,BTCG/USD,38063.0,38063.0,37594.77,37658.46,0.36442145,13723.550597967,2022-05-03
1651597200000,2022-05-03 17:00:00,BTCG/USD,38221.99,38221.99,38063.0,38063.0,0.20208628,7692.010075640001,2022-05-03
1651593600000,2022-05-03 16:00:00,BTCG/USD,38292.09,38292.09,38086.22,38221.99,0.85422016,32649.9944133184,2022-05-03
1651590000000,2022-05-03 15:00:00,BTCG/USD,38289.6,38386.71,38278.26,38292.09,0.16047574,6144.9514788966,2022-05-03
1651586400000,2022-05-03 14:00:00,BTCG/USD,38365.69,38365.69,38214.63,38289.6,0.26389495,10104.43207752,2022-05-03
1651582800000,2022-05-03 13:00:00,BTCG/USD,38530.17,38530.17,38201.67,38365.69,1.08350384,41569.37243924961,2022-05-03
1651579200000,2022-05-03 12:00:00,BTCG/USD,38489.58,38530.18,38462.29,38530.17,0.1274188,4909.468025196,2022-05-03
1651575600000,2022-05-03 11:00:00,BTCG/USD,38373.47,38489.58,38263.99,38489.58,0.39127154,15059.8772405532,2022-05-03
1651572000000,2022-05-03 10:00:00,BTCG/USD,38453.11,38453.11,38373.47,38373.47,0.01995136,765.6029144192,2022-05-03
1651568400000,2022-05-03 09:00:00,BTCG/USD,38599.16,38599.16,38453.11,38453.11,0.14929609,5740.8989713399,2022-05-03
1651564800000,2022-05-03 08:00:00,BTCG/USD,38496.29,38599.16,38496.29,38599.16,0.02918597,1126.5539257852,2022-05-03
1651561200000,2022-05-03 07:00:00,BTCG/USD,38496.29,38496.29,38496.29,38496.29,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,BTCG/USD,38524.55,38524.55,38471.57,38496.29,0.00245881,94.6550628149,2022-05-03
1651554000000,2022-05-03 05:00:00,BTCG/USD,38467.14,38524.55,38443.08,38524.55,0.00178245,68.66808414750001,2022-05-03
1651550400000,2022-05-03 04:00:00,BTCG/USD,38239.43,38508.52,38239.43,38467.14,0.00807522,310.6306182708,2022-05-03
1651546800000,2022-05-03 03:00:00,BTCG/USD,38425.73,39000.66,38239.43,38239.43,0.01888002,721.9612031886,2022-05-03
1651543200000,2022-05-03 02:00:00,BTCG/USD,38470.7,38531.37,38420.17,38425.73,0.07054233,2710.6405261509003,2022-05-03
1651539600000,2022-05-03 01:00:00,BTCG/USD,38438.24,38485.86,38403.58,38470.7,0.00306051,117.739962057,2022-05-03
1651536000000,2022-05-03 00:00:00,BTCG/USD,38657.25,38657.25,38400.94,38438.24,1.71036745,65743.51453128799,2022-05-03
