unix,date,symbol,open,high,low,close,Volume AXS,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,AXS/USD,30.28,30.38,26.5,29.07,719.636061,20919.82029327,2022-04-30
1651356000000,2022-04-30 22:00:00,AXS/USD,31.07,31.07,30.21,30.28,157.107601,4757.218158279999,2022-04-30
1651352400000,2022-04-30 21:00:00,AXS/USD,31.33,31.33,30.79,31.07,64.228897,1995.59182979,2022-04-30
1651348800000,2022-04-30 20:00:00,AXS/USD,31.62,31.62,31.24,31.33,206.673481,6475.08015973,2022-04-30
1651345200000,2022-04-30 19:00:00,AXS/USD,31.39,31.68,31.19,31.62,313.615016,9916.50680592,2022-04-30
1651341600000,2022-04-30 18:00:00,AXS/USD,31.25,31.57,31.15,31.39,106.705369,3349.48153291,2022-04-30
1651338000000,2022-04-30 17:00:00,AXS/USD,32.0,32.0,31.16,31.25,974.21512,30444.2225,2022-04-30
1651334400000,2022-04-30 16:00:00,AXS/USD,32.64,32.88,32.0,32.0,369.085423,11810.733536,2022-04-30
1651330800000,2022-04-30 15:00:00,AXS/USD,32.75,33.0,32.36,32.64,74.630258,2435.93162112,2022-04-30
1651327200000,2022-04-30 14:00:00,AXS/USD,33.81,33.94,32.75,32.75,657.703497,21539.78952675,2022-04-30
1651323600000,2022-04-30 13:00:00,AXS/USD,33.99,34.21,33.81,33.81,257.142229,8693.97876249,2022-04-30
1651320000000,2022-04-30 12:00:00,AXS/USD,34.29,34.49,33.99,33.99,17.302639,588.11669961,2022-04-30
1651316400000,2022-04-30 11:00:00,AXS/USD,34.08,34.42,34.08,34.29,28.353721,972.24909309,2022-04-30
1651312800000,2022-04-30 10:00:00,AXS/USD,33.8,34.3,33.71,34.08,60.854171,2073.91014768,2022-04-30
1651309200000,2022-04-30 09:00:00,AXS/USD,33.9,33.94,33.69,33.8,137.440977,4645.505022599999,2022-04-30
1651305600000,2022-04-30 08:00:00,AXS/USD,34.29,34.29,33.61,33.9,10.768438,365.0500482,2022-04-30
1651302000000,2022-04-30 07:00:00,AXS/USD,34.79,34.86,34.25,34.29,42.758091,1466.17494039,2022-04-30
1651298400000,2022-04-30 06:00:00,AXS/USD,34.23,34.79,34.15,34.79,114.704991,3990.58663689,2022-04-30
1651294800000,2022-04-30 05:00:00,AXS/USD,33.88,34.33,33.88,34.23,156.436668,5354.82714564,2022-04-30
1651291200000,2022-04-30 04:00:00,AXS/USD,33.82,34.13,33.71,33.88,37.56601,1272.7364188,2022-04-30
1651287600000,2022-04-30 03:00:00,AXS/USD,34.07,34.07,33.51,33.82,41.02861,1387.5875902,2022-04-30
1651284000000,2022-04-30 02:00:00,AXS/USD,34.35,34.5,34.03,34.07,89.105859,3035.83661613,2022-04-30
1651280400000,2022-04-30 01:00:00,AXS/USD,34.2,34.57,34.2,34.35,258.214659,8869.67353665,2022-04-30
1651276800000,2022-04-30 00:00:00,AXS/USD,34.39,34.44,34.12,34.2,110.08112,3764.774304000001,2022-04-30
