unix,date,symbol,open,high,low,close,Volume APE,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,APE/USD,18.878,19.5,18.877,19.147,34863.066523,667523.134715881,2022-04-29
1651269600000,2022-04-29 22:00:00,APE/USD,19.197,19.245,18.414,18.878,28315.421043,534538.518449754,2022-04-29
1651266000000,2022-04-29 21:00:00,APE/USD,20.092,20.288,18.652,19.197,25884.900193,496912.429005021,2022-04-29
1651262400000,2022-04-29 20:00:00,APE/USD,19.804,20.392,19.582,20.092,25615.373679,514664.087958468,2022-04-29
1651258800000,2022-04-29 19:00:00,APE/USD,21.535,21.535,19.266,19.804,100633.938463,1992954.517321252,2022-04-29
1651255200000,2022-04-29 18:00:00,APE/USD,22.606,22.774,21.2,21.535,36861.572567,793813.965230345,2022-04-29
1651251600000,2022-04-29 17:00:00,APE/USD,22.228,22.796,22.209,22.606,13561.144986,306563.243553516,2022-04-29
1651248000000,2022-04-29 16:00:00,APE/USD,23.018,23.245,21.972,22.228,38675.858046,859686.9726464881,2022-04-29
1651244400000,2022-04-29 15:00:00,APE/USD,22.232,23.215,22.232,23.018,50363.909266,1159276.463484788,2022-04-29
1651240800000,2022-04-29 14:00:00,APE/USD,21.843,22.581,21.61,22.232,28471.244726,632972.712748432,2022-04-29
1651237200000,2022-04-29 13:00:00,APE/USD,22.136,22.2,21.429,21.843,23228.010769,507369.439227267,2022-04-29
1651233600000,2022-04-29 12:00:00,APE/USD,22.12,22.836,21.956,22.136,31523.65756,697807.68374816,2022-04-29
1651230000000,2022-04-29 11:00:00,APE/USD,22.234,23.006,21.686,22.12,99793.065397,2207422.60658164,2022-04-29
1651226400000,2022-04-29 10:00:00,APE/USD,23.643,23.715,21.101,22.234,25912.886901,576147.1273568341,2022-04-29
1651222800000,2022-04-29 09:00:00,APE/USD,22.977,23.655,22.06,23.643,49850.922358,1178625.357310194,2022-04-29
1651219200000,2022-04-29 08:00:00,APE/USD,21.872,23.001,21.748,22.977,32679.650784,750880.336063968,2022-04-29
1651215600000,2022-04-29 07:00:00,APE/USD,21.695,21.905,21.483,21.872,20364.564545,445413.75572824,2022-04-29
1651212000000,2022-04-29 06:00:00,APE/USD,21.298,21.89,21.157,21.695,12402.202142,269065.77547069,2022-04-29
1651208400000,2022-04-29 05:00:00,APE/USD,21.033,21.782,20.982,21.298,20710.019584,441081.997100032,2022-04-29
1651204800000,2022-04-29 04:00:00,APE/USD,20.993,21.479,20.536,21.033,19433.268105,408739.928052465,2022-04-29
1651201200000,2022-04-29 03:00:00,APE/USD,21.59,21.8,20.607,20.993,78368.372296,1645187.239609928,2022-04-29
1651197600000,2022-04-29 02:00:00,APE/USD,22.49,22.667,21.25,21.59,163435.907931,3528581.25223029,2022-04-29
1651194000000,2022-04-29 01:00:00,APE/USD,23.272,24.428,22.442,22.49,45555.118554,1024534.61627946,2022-04-29
1651190400000,2022-04-29 00:00:00,APE/USD,23.723,24.437,23.053,23.272,61404.729094,1429010.855475568,2022-04-29
