unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,1INCH/USD,1.1409,1.162,1.1365,1.1605,5354.373118,6213.750003439001,2022-05-01
1651442400000,2022-05-01 22:00:00,1INCH/USD,1.1472,1.1531,1.1397,1.1409,992.916372,1132.8182888148,2022-05-01
1651438800000,2022-05-01 21:00:00,1INCH/USD,1.1541,1.1576,1.1405,1.1472,89.85499,103.081644528,2022-05-01
1651435200000,2022-05-01 20:00:00,1INCH/USD,1.1409,1.1541,1.1365,1.1541,2191.324684,2529.0078178044,2022-05-01
1651431600000,2022-05-01 19:00:00,1INCH/USD,1.1445,1.1484,1.1291,1.1409,1818.737729,2074.9978750161,2022-05-01
1651428000000,2022-05-01 18:00:00,1INCH/USD,1.1627,1.1633,1.1434,1.1445,982.66771,1124.663194095,2022-05-01
1651424400000,2022-05-01 17:00:00,1INCH/USD,1.1697,1.1765,1.1623,1.1627,658.716173,765.8892943471001,2022-05-01
1651420800000,2022-05-01 16:00:00,1INCH/USD,1.1584,1.175,1.1584,1.1697,2259.619608,2643.0770554776,2022-05-01
1651417200000,2022-05-01 15:00:00,1INCH/USD,1.128,1.1633,1.1266,1.1584,522.300009,605.0323304256001,2022-05-01
1651413600000,2022-05-01 14:00:00,1INCH/USD,1.1295,1.1342,1.1208,1.128,456.67159,515.1255535199999,2022-05-01
1651410000000,2022-05-01 13:00:00,1INCH/USD,1.1286,1.1378,1.1276,1.1295,787.22221,889.1674861949999,2022-05-01
1651406400000,2022-05-01 12:00:00,1INCH/USD,1.124,1.1367,1.1181,1.1286,1010.543517,1140.4994132862,2022-05-01
1651402800000,2022-05-01 11:00:00,1INCH/USD,1.143,1.143,1.1228,1.124,1691.4779,1901.2211596,2022-05-01
1651399200000,2022-05-01 10:00:00,1INCH/USD,1.1358,1.1484,1.1358,1.143,50.240064,57.424393152,2022-05-01
1651395600000,2022-05-01 09:00:00,1INCH/USD,1.1421,1.1464,1.1307,1.1358,1298.581307,1474.9286484905997,2022-05-01
1651392000000,2022-05-01 08:00:00,1INCH/USD,1.1218,1.144,1.1218,1.1421,118.447685,135.2791010385,2022-05-01
1651388400000,2022-05-01 07:00:00,1INCH/USD,1.1249,1.1284,1.1209,1.1218,1403.150264,1574.0539661552,2022-05-01
1651384800000,2022-05-01 06:00:00,1INCH/USD,1.1302,1.1389,1.1227,1.1249,994.437348,1118.6425727652002,2022-05-01
1651381200000,2022-05-01 05:00:00,1INCH/USD,1.1087,1.1344,1.1087,1.1302,1474.925224,1666.9604881648002,2022-05-01
1651377600000,2022-05-01 04:00:00,1INCH/USD,1.1159,1.1175,1.1041,1.1087,209.217506,231.9594489022,2022-05-01
1651374000000,2022-05-01 03:00:00,1INCH/USD,1.1036,1.1159,1.1028,1.1159,958.384761,1069.4615547999,2022-05-01
1651370400000,2022-05-01 02:00:00,1INCH/USD,1.1117,1.1231,1.1035,1.1036,1641.371698,1811.4178059128,2022-05-01
1651366800000,2022-05-01 01:00:00,1INCH/USD,1.1106,1.1148,1.0864,1.1117,7483.4274,8319.32624058,2022-05-01
1651363200000,2022-05-01 00:00:00,1INCH/USD,1.12,1.1259,1.0962,1.1106,3924.996062,4359.100626457201,2022-05-01
