unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,ANKR/USD,0.06575,0.06598,0.06545,0.0657,4676.542403,307.2488358771,2022-04-29
1651269600000,2022-04-29 22:00:00,ANKR/USD,0.06512,0.06585,0.06474,0.06575,14090.857528,926.473882466,2022-04-29
1651266000000,2022-04-29 21:00:00,ANKR/USD,0.06501,0.06525,0.06491,0.06512,2263.117159,147.37418939408,2022-04-29
1651262400000,2022-04-29 20:00:00,ANKR/USD,0.06474,0.06512,0.06471,0.06501,23427.086079,1522.99486599579,2022-04-29
1651258800000,2022-04-29 19:00:00,ANKR/USD,0.06619,0.06622,0.06436,0.06474,27464.417902,1778.0464149754805,2022-04-29
1651255200000,2022-04-29 18:00:00,ANKR/USD,0.067,0.06701,0.06582,0.06619,3371.982272,223.19150658368,2022-04-29
1651251600000,2022-04-29 17:00:00,ANKR/USD,0.06682,0.06724,0.06682,0.067,9639.933397,645.875537599,2022-04-29
1651248000000,2022-04-29 16:00:00,ANKR/USD,0.06765,0.0677,0.06659,0.06682,8593.145733,574.19399787906,2022-04-29
1651244400000,2022-04-29 15:00:00,ANKR/USD,0.06768,0.06778,0.06723,0.06765,3138.486018,212.3185791177,2022-04-29
1651240800000,2022-04-29 14:00:00,ANKR/USD,0.06806,0.0682,0.06733,0.06768,716.210497,48.47312643696001,2022-04-29
1651237200000,2022-04-29 13:00:00,ANKR/USD,0.06747,0.06806,0.06731,0.06806,2714.843761,184.77226637366,2022-04-29
1651233600000,2022-04-29 12:00:00,ANKR/USD,0.06701,0.06783,0.06683,0.06747,15114.831317,1019.79766895799,2022-04-29
1651230000000,2022-04-29 11:00:00,ANKR/USD,0.06727,0.06737,0.06678,0.06701,3892.015502,260.80395878902,2022-04-29
1651226400000,2022-04-29 10:00:00,ANKR/USD,0.06801,0.06842,0.06681,0.06727,10101.188931,679.50697938837,2022-04-29
1651222800000,2022-04-29 09:00:00,ANKR/USD,0.06866,0.06866,0.06784,0.06801,9662.820671,657.16843383471,2022-04-29
1651219200000,2022-04-29 08:00:00,ANKR/USD,0.06946,0.06962,0.06866,0.06866,606.23011,41.6237593526,2022-04-29
1651215600000,2022-04-29 07:00:00,ANKR/USD,0.06915,0.06948,0.069,0.06946,454.984579,31.60322885734,2022-04-29
1651212000000,2022-04-29 06:00:00,ANKR/USD,0.06929,0.06937,0.069,0.06915,28914.828693,1999.46040412095,2022-04-29
1651208400000,2022-04-29 05:00:00,ANKR/USD,0.0689,0.06929,0.06886,0.06929,111897.3505,7753.367416145001,2022-04-29
1651204800000,2022-04-29 04:00:00,ANKR/USD,0.06903,0.06905,0.06858,0.0689,1651.565835,113.79288603150002,2022-04-29
1651201200000,2022-04-29 03:00:00,ANKR/USD,0.06877,0.06922,0.06875,0.06903,215.277748,14.86062294444,2022-04-29
1651197600000,2022-04-29 02:00:00,ANKR/USD,0.06981,0.06995,0.06877,0.06877,2757.571631,189.63820106387,2022-04-29
1651194000000,2022-04-29 01:00:00,ANKR/USD,0.07023,0.07036,0.06965,0.06981,3082.393452,215.18188688412,2022-04-29
1651190400000,2022-04-29 00:00:00,ANKR/USD,0.07009,0.07163,0.06982,0.07023,91882.711995,6452.92286340885,2022-04-29
