unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,ENJ/USD,1.0722,1.1028,1.0666,1.0957,2834.086703,3105.3088004771,2022-05-01
1651442400000,2022-05-01 22:00:00,ENJ/USD,1.0728,1.0892,1.0722,1.0722,4172.783467,4474.0584333174,2022-05-01
1651438800000,2022-05-01 21:00:00,ENJ/USD,1.0831,1.0857,1.0628,1.0728,22895.955536,24562.7810990208,2022-05-01
1651435200000,2022-05-01 20:00:00,ENJ/USD,1.0628,1.0831,1.0592,1.0831,600.924466,650.8612891246,2022-05-01
1651431600000,2022-05-01 19:00:00,ENJ/USD,1.062,1.0718,1.0533,1.0628,2611.876671,2775.9025259388,2022-05-01
1651428000000,2022-05-01 18:00:00,ENJ/USD,1.1004,1.1004,1.062,1.062,3746.55091,3978.83706642,2022-05-01
1651424400000,2022-05-01 17:00:00,ENJ/USD,1.1193,1.1256,1.0975,1.1004,2720.610173,2993.7594343692003,2022-05-01
1651420800000,2022-05-01 16:00:00,ENJ/USD,1.1099,1.1229,1.1071,1.1193,2707.769427,3030.8063196411,2022-05-01
1651417200000,2022-05-01 15:00:00,ENJ/USD,1.0698,1.1133,1.0671,1.1099,23915.416624,26543.720910977605,2022-05-01
1651413600000,2022-05-01 14:00:00,ENJ/USD,1.067,1.0727,1.0556,1.0698,23564.719505,25209.536926449004,2022-05-01
1651410000000,2022-05-01 13:00:00,ENJ/USD,1.0691,1.0769,1.0661,1.067,1735.229979,1851.490387593,2022-05-01
1651406400000,2022-05-01 12:00:00,ENJ/USD,1.0737,1.0771,1.0639,1.0691,4362.0615,4663.479949649999,2022-05-01
1651402800000,2022-05-01 11:00:00,ENJ/USD,1.0867,1.0904,1.0701,1.0737,577.395818,619.9498897866,2022-05-01
1651399200000,2022-05-01 10:00:00,ENJ/USD,1.0874,1.0978,1.0836,1.0867,664.497216,722.1091246272,2022-05-01
1651395600000,2022-05-01 09:00:00,ENJ/USD,1.0908,1.0967,1.0807,1.0874,305.280462,331.9619743788,2022-05-01
1651392000000,2022-05-01 08:00:00,ENJ/USD,1.0762,1.097,1.0762,1.0908,10929.770692,11922.1938708336,2022-05-01
1651388400000,2022-05-01 07:00:00,ENJ/USD,1.0812,1.0815,1.0748,1.0762,819.955294,882.4358874028001,2022-05-01
1651384800000,2022-05-01 06:00:00,ENJ/USD,1.0833,1.0928,1.0812,1.0812,819.010435,885.514082322,2022-05-01
1651381200000,2022-05-01 05:00:00,ENJ/USD,1.0582,1.0888,1.0582,1.0833,2526.29512,2736.735503496,2022-05-01
1651377600000,2022-05-01 04:00:00,ENJ/USD,1.0649,1.0878,1.0538,1.0582,5178.772097,5480.1766330454,2022-05-01
1651374000000,2022-05-01 03:00:00,ENJ/USD,1.059,1.0718,1.0577,1.0649,764.604157,814.2269667892999,2022-05-01
1651370400000,2022-05-01 02:00:00,ENJ/USD,1.0644,1.0825,1.052,1.059,11482.244105,12159.696507195,2022-05-01
1651366800000,2022-05-01 01:00:00,ENJ/USD,1.0511,1.1041,1.0332,1.0644,64427.337696,68576.4582436224,2022-05-01
1651363200000,2022-05-01 00:00:00,ENJ/USD,1.058,1.0693,1.0365,1.0511,5380.829801,5655.7902038311,2022-05-01
