unix,date,symbol,open,high,low,close,Volume RAY,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,RAY/USD,2.169,2.169,2.027,2.087,105.999369,221.22068310300003,2022-04-30
1651356000000,2022-04-30 22:00:00,RAY/USD,2.241,2.241,2.169,2.169,83.286626,180.648691794,2022-04-30
1651352400000,2022-04-30 21:00:00,RAY/USD,2.26,2.268,2.241,2.241,90.79944,203.48154504,2022-04-30
1651348800000,2022-04-30 20:00:00,RAY/USD,2.28,2.28,2.26,2.26,5.06771,11.4530246,2022-04-30
1651345200000,2022-04-30 19:00:00,RAY/USD,2.259,2.282,2.259,2.28,4.643951,10.58820828,2022-04-30
1651341600000,2022-04-30 18:00:00,RAY/USD,2.253,2.27,2.253,2.259,4.725522,10.674954197999998,2022-04-30
1651338000000,2022-04-30 17:00:00,RAY/USD,2.291,2.291,2.24,2.253,1107.155,2494.420215,2022-04-30
1651334400000,2022-04-30 16:00:00,RAY/USD,2.293,2.306,2.291,2.291,35.260872,80.78265775199999,2022-04-30
1651330800000,2022-04-30 15:00:00,RAY/USD,2.281,2.302,2.275,2.293,97.59581,223.78719233,2022-04-30
1651327200000,2022-04-30 14:00:00,RAY/USD,2.323,2.323,2.28,2.281,225.999764,515.505461684,2022-04-30
1651323600000,2022-04-30 13:00:00,RAY/USD,2.342,2.344,2.313,2.323,133.567362,310.276981926,2022-04-30
1651320000000,2022-04-30 12:00:00,RAY/USD,2.35,2.351,2.334,2.342,3.105986,7.274219212,2022-04-30
1651316400000,2022-04-30 11:00:00,RAY/USD,2.34,2.35,2.334,2.35,0.901625,2.11881875,2022-04-30
1651312800000,2022-04-30 10:00:00,RAY/USD,2.322,2.341,2.313,2.34,1.692921,3.96143514,2022-04-30
1651309200000,2022-04-30 09:00:00,RAY/USD,2.323,2.332,2.319,2.322,18.037127,41.88220889400001,2022-04-30
1651305600000,2022-04-30 08:00:00,RAY/USD,2.324,2.324,2.306,2.323,5.018423,11.657796629,2022-04-30
1651302000000,2022-04-30 07:00:00,RAY/USD,2.337,2.339,2.315,2.324,8.053584,18.716529216,2022-04-30
1651298400000,2022-04-30 06:00:00,RAY/USD,2.344,2.344,2.332,2.337,430.592028,1006.293569436,2022-04-30
1651294800000,2022-04-30 05:00:00,RAY/USD,2.327,2.344,2.327,2.344,41.025808,96.164493952,2022-04-30
1651291200000,2022-04-30 04:00:00,RAY/USD,2.331,2.338,2.327,2.327,13.190167,30.693518609,2022-04-30
1651287600000,2022-04-30 03:00:00,RAY/USD,2.331,2.34,2.324,2.331,57.699336,134.497152216,2022-04-30
1651284000000,2022-04-30 02:00:00,RAY/USD,2.349,2.355,2.331,2.331,17.372587,40.495500297,2022-04-30
1651280400000,2022-04-30 01:00:00,RAY/USD,2.338,2.349,2.338,2.349,0.956428,2.2466493720000003,2022-04-30
1651276800000,2022-04-30 00:00:00,RAY/USD,2.326,2.342,2.326,2.338,110.007943,257.198570734,2022-04-30
