unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,CUBE/USD,3.5366,3.7162,3.5366,3.6957,4499.376688,16628.346425841602,2022-04-29
1651269600000,2022-04-29 22:00:00,CUBE/USD,3.5742,3.5742,3.5289,3.5366,2322.053403,8212.1740650498,2022-04-29
1651266000000,2022-04-29 21:00:00,CUBE/USD,3.5573,3.5747,3.4957,3.5742,8378.068451,29944.892257564195,2022-04-29
1651262400000,2022-04-29 20:00:00,CUBE/USD,3.58,3.58,3.5473,3.5573,957.212552,3405.0922112296,2022-04-29
1651258800000,2022-04-29 19:00:00,CUBE/USD,3.6003,3.6054,3.5756,3.58,1080.01742,3866.4623636,2022-04-29
1651255200000,2022-04-29 18:00:00,CUBE/USD,3.6039,3.6082,3.6,3.6003,400.402851,1441.5703844553,2022-04-29
1651251600000,2022-04-29 17:00:00,CUBE/USD,3.6024,3.6066,3.5977,3.6039,332.499786,1198.2959787654,2022-04-29
1651248000000,2022-04-29 16:00:00,CUBE/USD,3.6175,3.6175,3.6014,3.6024,723.374971,2605.8859955304,2022-04-29
1651244400000,2022-04-29 15:00:00,CUBE/USD,3.6234,3.6254,3.6102,3.6175,778.932459,2817.7881704325,2022-04-29
1651240800000,2022-04-29 14:00:00,CUBE/USD,3.7369,3.737,3.6082,3.6234,2388.80071,8655.580492614,2022-04-29
1651237200000,2022-04-29 13:00:00,CUBE/USD,3.6435,3.7553,3.6435,3.7369,1099.986316,4110.5388642604,2022-04-29
1651233600000,2022-04-29 12:00:00,CUBE/USD,3.64,3.6627,3.5721,3.6435,13376.725786,48738.100401291005,2022-04-29
1651230000000,2022-04-29 11:00:00,CUBE/USD,3.92,3.92,3.638,3.64,10941.77656,39828.0666784,2022-04-29
1651226400000,2022-04-29 10:00:00,CUBE/USD,3.9331,3.9405,3.92,3.92,260.345546,1020.55454032,2022-04-29
1651222800000,2022-04-29 09:00:00,CUBE/USD,3.9765,3.9765,3.9234,3.9331,965.00928,3795.477999168,2022-04-29
1651219200000,2022-04-29 08:00:00,CUBE/USD,3.9964,3.9964,3.9765,3.9765,181.34269,721.1092067850001,2022-04-29
1651215600000,2022-04-29 07:00:00,CUBE/USD,3.9904,3.9964,3.9734,3.9964,376.849256,1506.0403666784,2022-04-29
1651212000000,2022-04-29 06:00:00,CUBE/USD,3.9837,3.9918,3.9789,3.9904,174.017386,694.3989770943999,2022-04-29
1651208400000,2022-04-29 05:00:00,CUBE/USD,3.9771,4.001,3.9704,3.9837,254.941875,1015.6119474375,2022-04-29
1651204800000,2022-04-29 04:00:00,CUBE/USD,3.978,3.99,3.9678,3.9771,381.005823,1515.2982586533,2022-04-29
1651201200000,2022-04-29 03:00:00,CUBE/USD,4.011,4.011,3.967,3.978,965.662925,3841.40711565,2022-04-29
1651197600000,2022-04-29 02:00:00,CUBE/USD,4.0241,4.0365,4.0017,4.011,875.585892,3511.975012812,2022-04-29
1651194000000,2022-04-29 01:00:00,CUBE/USD,4.0463,4.0472,4.021,4.0241,725.084152,2917.8111360632,2022-04-29
1651190400000,2022-04-29 00:00:00,CUBE/USD,4.0351,4.05,4.0303,4.0463,648.810151,2625.2805139913,2022-04-29
