unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,CUBE/USD,3.6165,3.6307,3.6135,3.6221,104.601811,378.8782196231,2022-05-02
1651528800000,2022-05-02 22:00:00,CUBE/USD,3.6078,3.6208,3.6066,3.6165,157.614747,570.0137325254999,2022-05-02
1651525200000,2022-05-02 21:00:00,CUBE/USD,3.5674,3.6078,3.5637,3.6078,499.417052,1801.7968402056,2022-05-02
1651521600000,2022-05-02 20:00:00,CUBE/USD,3.5778,3.5779,3.5554,3.5674,385.084508,1373.7504738392,2022-05-02
1651518000000,2022-05-02 19:00:00,CUBE/USD,3.5428,3.5779,3.5428,3.5778,383.098765,1370.650761417,2022-05-02
1651514400000,2022-05-02 18:00:00,CUBE/USD,3.5384,3.5444,3.5324,3.5428,399.789746,1416.3751121288,2022-05-02
1651510800000,2022-05-02 17:00:00,CUBE/USD,3.5779,3.5779,3.5226,3.5384,2900.903195,10264.555865188,2022-05-02
1651507200000,2022-05-02 16:00:00,CUBE/USD,3.5783,3.5856,3.5779,3.5779,86.067993,307.9426721547,2022-05-02
1651503600000,2022-05-02 15:00:00,CUBE/USD,3.5761,3.5838,3.5761,3.5783,60.627725,216.9441883675,2022-05-02
1651500000000,2022-05-02 14:00:00,CUBE/USD,3.5796,3.5848,3.5756,3.5761,114.373975,409.0127719975,2022-05-02
1651496400000,2022-05-02 13:00:00,CUBE/USD,3.567,3.5818,3.5668,3.5796,521.987728,1868.5072711488,2022-05-02
1651492800000,2022-05-02 12:00:00,CUBE/USD,3.5894,3.5923,3.5604,3.567,1396.742039,4982.1788531130005,2022-05-02
1651489200000,2022-05-02 11:00:00,CUBE/USD,3.5933,3.5933,3.5886,3.5894,47.754987,171.4117503378,2022-05-02
1651485600000,2022-05-02 10:00:00,CUBE/USD,3.5941,3.5953,3.5933,3.5933,15.553241,55.8874608853,2022-05-02
1651482000000,2022-05-02 09:00:00,CUBE/USD,3.5924,3.6018,3.5885,3.5941,73.770114,265.13716672740003,2022-05-02
1651478400000,2022-05-02 08:00:00,CUBE/USD,3.6089,3.6184,3.5885,3.5924,2981.895985,10712.163136514,2022-05-02
1651474800000,2022-05-02 07:00:00,CUBE/USD,3.4332,3.6289,3.4332,3.6089,2353.518944,8493.6145170016,2022-05-02
1651471200000,2022-05-02 06:00:00,CUBE/USD,3.4279,3.4376,3.4279,3.4332,71.115129,244.1524608828,2022-05-02
1651467600000,2022-05-02 05:00:00,CUBE/USD,3.4264,3.4391,3.4199,3.4279,2888.302743,9900.812972729702,2022-05-02
1651464000000,2022-05-02 04:00:00,CUBE/USD,3.4273,3.4273,3.4219,3.4264,90.991246,311.7724052944,2022-05-02
1651460400000,2022-05-02 03:00:00,CUBE/USD,3.4402,3.4402,3.4219,3.4273,32.298992,110.69833528159998,2022-05-02
1651456800000,2022-05-02 02:00:00,CUBE/USD,3.4621,3.4621,3.4172,3.4402,1259.025494,4331.2995044588,2022-05-02
1651453200000,2022-05-02 01:00:00,CUBE/USD,3.5001,3.5421,3.4456,3.4621,4156.702284,14390.9189774364,2022-05-02
1651449600000,2022-05-02 00:00:00,CUBE/USD,3.4523,3.5764,3.4523,3.5001,707.466563,2476.2037171563,2022-05-02
