unix,date,symbol,open,high,low,close,Volume SBR,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,SBR/USD,0.021,0.021,0.021,0.021,0.0,0.0,2022-05-01
1651442400000,2022-05-01 22:00:00,SBR/USD,0.020665,0.021,0.020665,0.021,133.409285,2.8015949850000004,2022-05-01
1651438800000,2022-05-01 21:00:00,SBR/USD,0.02044,0.020665,0.02044,0.020665,1214.892367,25.105750764055,2022-05-01
1651435200000,2022-05-01 20:00:00,SBR/USD,0.020838,0.020838,0.02044,0.02044,500.0,10.22,2022-05-01
1651431600000,2022-05-01 19:00:00,SBR/USD,0.020894,0.020894,0.020838,0.020838,1.857996,0.0387169206479999,2022-05-01
1651428000000,2022-05-01 18:00:00,SBR/USD,0.02044,0.020894,0.02044,0.020894,1.07349,0.02242950006,2022-05-01
1651424400000,2022-05-01 17:00:00,SBR/USD,0.020733,0.020733,0.02044,0.02044,74437.360776,1521.49965426144,2022-05-01
1651420800000,2022-05-01 16:00:00,SBR/USD,0.020733,0.020733,0.020733,0.020733,0.0,0.0,2022-05-01
1651417200000,2022-05-01 15:00:00,SBR/USD,0.020733,0.020733,0.020733,0.020733,0.0,0.0,2022-05-01
1651413600000,2022-05-01 14:00:00,SBR/USD,0.02143,0.02143,0.020733,0.020733,6.531976,0.135427458408,2022-05-01
1651410000000,2022-05-01 13:00:00,SBR/USD,0.02,0.02143,0.02,0.02143,101073.879607,2166.01323997801,2022-05-01
1651406400000,2022-05-01 12:00:00,SBR/USD,0.02,0.02,0.02,0.02,0.0,0.0,2022-05-01
1651402800000,2022-05-01 11:00:00,SBR/USD,0.02,0.02,0.02,0.02,0.0,0.0,2022-05-01
1651399200000,2022-05-01 10:00:00,SBR/USD,0.02,0.02,0.02,0.02,0.0,0.0,2022-05-01
1651395600000,2022-05-01 09:00:00,SBR/USD,0.02,0.02,0.02,0.02,0.0,0.0,2022-05-01
1651392000000,2022-05-01 08:00:00,SBR/USD,0.02,0.02,0.02,0.02,0.0,0.0,2022-05-01
1651388400000,2022-05-01 07:00:00,SBR/USD,0.019742,0.02,0.019742,0.02,71310.59187,1426.2118374,2022-05-01
1651384800000,2022-05-01 06:00:00,SBR/USD,0.019742,0.019742,0.019742,0.019742,0.0,0.0,2022-05-01
1651381200000,2022-05-01 05:00:00,SBR/USD,0.019742,0.019742,0.019742,0.019742,0.0,0.0,2022-05-01
1651377600000,2022-05-01 04:00:00,SBR/USD,0.019499,0.019742,0.019499,0.019742,1.0,0.019742,2022-05-01
1651374000000,2022-05-01 03:00:00,SBR/USD,0.019499,0.019499,0.019499,0.019499,0.0,0.0,2022-05-01
1651370400000,2022-05-01 02:00:00,SBR/USD,0.019499,0.019499,0.019499,0.019499,0.0,0.0,2022-05-01
1651366800000,2022-05-01 01:00:00,SBR/USD,0.019889,0.019889,0.019499,0.019499,24582.477057,479.33372013444296,2022-05-01
1651363200000,2022-05-01 00:00:00,SBR/USD,0.020897,0.020897,0.019889,0.019889,5001.400675,99.472858025075,2022-05-01
