unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,ANKR/USD,0.06216,0.06385,0.06209,0.06366,8916.395805,567.6177569463,2022-05-01
1651442400000,2022-05-01 22:00:00,ANKR/USD,0.0624,0.06299,0.06204,0.06216,4161.012208,258.64851884928,2022-05-01
1651438800000,2022-05-01 21:00:00,ANKR/USD,0.06277,0.06311,0.06205,0.0624,1929.175551,120.3805543824,2022-05-01
1651435200000,2022-05-01 20:00:00,ANKR/USD,0.06163,0.06277,0.06161,0.06277,11426.197745,717.2224324536501,2022-05-01
1651431600000,2022-05-01 19:00:00,ANKR/USD,0.06156,0.06183,0.06109,0.06163,1440.98298,88.80778105739999,2022-05-01
1651428000000,2022-05-01 18:00:00,ANKR/USD,0.06329,0.06329,0.06156,0.06156,4783.077715,294.4462641354,2022-05-01
1651424400000,2022-05-01 17:00:00,ANKR/USD,0.06379,0.06411,0.06325,0.06329,4479.305797,283.49526389213,2022-05-01
1651420800000,2022-05-01 16:00:00,ANKR/USD,0.06351,0.06461,0.06351,0.06379,10636.795903,678.52121065237,2022-05-01
1651417200000,2022-05-01 15:00:00,ANKR/USD,0.06121,0.06371,0.06121,0.06351,20610.391573,1308.96596880123,2022-05-01
1651413600000,2022-05-01 14:00:00,ANKR/USD,0.06118,0.06147,0.06092,0.06121,51732.884814,3166.56987946494,2022-05-01
1651410000000,2022-05-01 13:00:00,ANKR/USD,0.06098,0.0616,0.06098,0.06118,4550.795627,278.41767645986,2022-05-01
1651406400000,2022-05-01 12:00:00,ANKR/USD,0.06083,0.06119,0.06029,0.06098,3029.986852,184.76859823496,2022-05-01
1651402800000,2022-05-01 11:00:00,ANKR/USD,0.06143,0.06143,0.06078,0.06083,2712.466315,164.99932594145002,2022-05-01
1651399200000,2022-05-01 10:00:00,ANKR/USD,0.06118,0.06152,0.06098,0.06143,1985.52987,121.9710999141,2022-05-01
1651395600000,2022-05-01 09:00:00,ANKR/USD,0.06149,0.06152,0.06061,0.06118,12606.093212,771.2407827101599,2022-05-01
1651392000000,2022-05-01 08:00:00,ANKR/USD,0.06066,0.06152,0.06066,0.06149,101238.770347,6225.17198863703,2022-05-01
1651388400000,2022-05-01 07:00:00,ANKR/USD,0.06161,0.06161,0.06066,0.06066,3802.125128,230.63691026448,2022-05-01
1651384800000,2022-05-01 06:00:00,ANKR/USD,0.06213,0.06237,0.06161,0.06161,1950.829477,120.19060407797,2022-05-01
1651381200000,2022-05-01 05:00:00,ANKR/USD,0.05985,0.06237,0.05985,0.06213,63878.748725,3968.78665828425,2022-05-01
1651377600000,2022-05-01 04:00:00,ANKR/USD,0.06037,0.06055,0.05975,0.05985,3611.550826,216.1513169361,2022-05-01
1651374000000,2022-05-01 03:00:00,ANKR/USD,0.0597,0.06037,0.0597,0.06037,24874.854182,1501.69494696734,2022-05-01
1651370400000,2022-05-01 02:00:00,ANKR/USD,0.0603,0.06068,0.05966,0.0597,34393.962417,2053.3195562949004,2022-05-01
1651366800000,2022-05-01 01:00:00,ANKR/USD,0.05989,0.06171,0.0586,0.0603,43718.849658,2636.2466343774,2022-05-01
1651363200000,2022-05-01 00:00:00,ANKR/USD,0.06002,0.06057,0.0595,0.05989,221579.538651,13270.39856980839,2022-05-01
