unix,date,symbol,open,high,low,close,Volume DPI,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,DPI/USD,155.91,157.77,153.54,155.36,3.583339,556.70754704,2022-04-29
1651269600000,2022-04-29 22:00:00,DPI/USD,155.91,155.91,155.91,155.91,0.0,0.0,2022-04-29
1651266000000,2022-04-29 21:00:00,DPI/USD,155.0,155.91,155.0,155.91,0.113663,17.72119833,2022-04-29
1651262400000,2022-04-29 20:00:00,DPI/USD,155.0,155.0,155.0,155.0,0.0,0.0,2022-04-29
1651258800000,2022-04-29 19:00:00,DPI/USD,158.42,158.42,155.0,155.0,3.116422,483.04541,2022-04-29
1651255200000,2022-04-29 18:00:00,DPI/USD,159.82,159.82,158.0,158.42,52.573905,8328.7580301,2022-04-29
1651251600000,2022-04-29 17:00:00,DPI/USD,159.77,160.45,159.77,159.82,1.849843,295.64190826,2022-04-29
1651248000000,2022-04-29 16:00:00,DPI/USD,163.81,163.81,159.77,159.77,47.474382,7584.98201214,2022-04-29
1651244400000,2022-04-29 15:00:00,DPI/USD,163.81,163.81,163.81,163.81,0.0,0.0,2022-04-29
1651240800000,2022-04-29 14:00:00,DPI/USD,163.28,163.81,163.28,163.81,0.00252,0.4128012,2022-04-29
1651237200000,2022-04-29 13:00:00,DPI/USD,163.67,163.67,163.28,163.28,3.001523,490.08867544,2022-04-29
1651233600000,2022-04-29 12:00:00,DPI/USD,162.25,165.59,162.25,163.67,17.758081,2906.46511727,2022-04-29
1651230000000,2022-04-29 11:00:00,DPI/USD,164.16,164.16,161.59,162.25,12.023371,1950.79194475,2022-04-29
1651226400000,2022-04-29 10:00:00,DPI/USD,166.5,166.5,164.16,164.16,0.00731,1.2000096,2022-04-29
1651222800000,2022-04-29 09:00:00,DPI/USD,166.5,166.5,166.5,166.5,0.0,0.0,2022-04-29
1651219200000,2022-04-29 08:00:00,DPI/USD,166.22,166.5,166.22,166.5,0.270497,45.0377505,2022-04-29
1651215600000,2022-04-29 07:00:00,DPI/USD,165.23,166.22,165.23,166.22,0.405673,67.43096606,2022-04-29
1651212000000,2022-04-29 06:00:00,DPI/USD,165.23,165.23,165.23,165.23,0.0,0.0,2022-04-29
1651208400000,2022-04-29 05:00:00,DPI/USD,165.23,165.23,165.23,165.23,0.0,0.0,2022-04-29
1651204800000,2022-04-29 04:00:00,DPI/USD,165.87,165.87,165.23,165.23,1.186378,196.02523694,2022-04-29
1651201200000,2022-04-29 03:00:00,DPI/USD,165.87,165.87,165.87,165.87,0.0,0.0,2022-04-29
1651197600000,2022-04-29 02:00:00,DPI/USD,166.86,166.86,165.87,165.87,1.0,165.87,2022-04-29
1651194000000,2022-04-29 01:00:00,DPI/USD,166.86,166.86,166.86,166.86,0.0,0.0,2022-04-29
1651190400000,2022-04-29 00:00:00,DPI/USD,166.86,166.86,166.86,166.86,0.0,0.0,2022-04-29
