unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,DOGE/USD,0.12901,0.1295,0.12859,0.12938,69071.970704,8936.53156968352,2022-05-03
1651615200000,2022-05-03 22:00:00,DOGE/USD,0.12945,0.12998,0.12896,0.12901,165150.3898,21306.051788098004,2022-05-03
1651611600000,2022-05-03 21:00:00,DOGE/USD,0.12844,0.12957,0.12783,0.12945,428191.703458,55429.4160126381,2022-05-03
1651608000000,2022-05-03 20:00:00,DOGE/USD,0.1276,0.12844,0.12714,0.12844,303692.694143,39006.28963572692,2022-05-03
1651604400000,2022-05-03 19:00:00,DOGE/USD,0.12811,0.12827,0.12643,0.1276,75431.014078,9624.9973963528,2022-05-03
1651600800000,2022-05-03 18:00:00,DOGE/USD,0.12944,0.12944,0.12741,0.12811,2129469.911143,272806.3903165297,2022-05-03
1651597200000,2022-05-03 17:00:00,DOGE/USD,0.12911,0.12999,0.12907,0.12944,197072.887681,25509.11458142864,2022-05-03
1651593600000,2022-05-03 16:00:00,DOGE/USD,0.13027,0.13028,0.12867,0.12911,138640.365001,17899.85752527911,2022-05-03
1651590000000,2022-05-03 15:00:00,DOGE/USD,0.12973,0.13089,0.12958,0.13027,296269.692979,38595.05290437433,2022-05-03
1651586400000,2022-05-03 14:00:00,DOGE/USD,0.13009,0.13047,0.12956,0.12973,64766.943474,8402.215576882021,2022-05-03
1651582800000,2022-05-03 13:00:00,DOGE/USD,0.13069,0.13087,0.12932,0.13009,74960.022653,9751.549346928772,2022-05-03
1651579200000,2022-05-03 12:00:00,DOGE/USD,0.13107,0.13125,0.13069,0.13069,152237.72432,19895.9481913808,2022-05-03
1651575600000,2022-05-03 11:00:00,DOGE/USD,0.13007,0.13113,0.12992,0.13107,199158.882673,26103.754751950102,2022-05-03
1651572000000,2022-05-03 10:00:00,DOGE/USD,0.13052,0.13052,0.13001,0.13007,750.653278,97.63747186946,2022-05-03
1651568400000,2022-05-03 09:00:00,DOGE/USD,0.13127,0.13131,0.13052,0.13052,57888.37363,7555.5905261876,2022-05-03
1651564800000,2022-05-03 08:00:00,DOGE/USD,0.13122,0.13143,0.13121,0.13127,30535.10527,4008.3432687929,2022-05-03
1651561200000,2022-05-03 07:00:00,DOGE/USD,0.13094,0.13127,0.13083,0.13122,8696.563396,1141.16304882312,2022-05-03
1651557600000,2022-05-03 06:00:00,DOGE/USD,0.13097,0.13127,0.1308,0.13094,69522.106138,9103.22457770972,2022-05-03
1651554000000,2022-05-03 05:00:00,DOGE/USD,0.13184,0.13184,0.13075,0.13097,206034.736253,26984.36940705541,2022-05-03
1651550400000,2022-05-03 04:00:00,DOGE/USD,0.13123,0.1319,0.13123,0.13184,54272.704549,7155.313367740161,2022-05-03
1651546800000,2022-05-03 03:00:00,DOGE/USD,0.13136,0.13181,0.13123,0.13123,359739.571523,47208.6239709633,2022-05-03
1651543200000,2022-05-03 02:00:00,DOGE/USD,0.13127,0.13187,0.13065,0.13136,122494.834856,16090.92150668416,2022-05-03
1651539600000,2022-05-03 01:00:00,DOGE/USD,0.1304,0.13129,0.1303,0.13127,68861.505631,9039.44984418137,2022-05-03
1651536000000,2022-05-03 00:00:00,DOGE/USD,0.13072,0.13099,0.13031,0.1304,182248.35189,23765.185086456,2022-05-03
